Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureExtraArcs,measureMissingArcs,measureReversedArcs,measureDivergence,measureBayesScore,measureBDeuScore,measureMDLScore,measureAICScore,measureEntropyScore
exp5_kmeans_unit_norm_features1BEST1,1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808121243E7,248569.0,181213.0,33317.0,147896.0,0.0,18.385546290829023,81.61445370917097,0.0,0.1520412125623164,0.02514420824944242,0.11443610873611243,90.84852308364246,97.27570496890989,987460.7167052545,786683.5021046974,200777.2146005571,5.44917150924743,4.341208975651291,1.107962533596139,286489.1282318556,1.5809524053564346,5265165.830426466,0.0,0.0,0.0,0.0,1.0,181207.0,1.0,6.0,NaN,0.0,NaN,NaN,0.9999779257975685,0.5454545454545454,0.18385546290829025,0.030785653914553478,0.9692143460854467,0.8161445370917098,NaN,0.18385546290829025,NaN,NaN,0.8442399794218557,0.15224111523089767,NaN,0.18385546290829025,2.124,2.151,1.62,2.16,1620.0,2160.0,8877813.0,3.3065289E7,3678939.0,86.94685259887535,23.922984081085563,?,0.0,0.0,0.0,0.0,-2.341606183206567E7,-2.8844761645976204E7,-2.687709027357145E7,-2.4332464467368506E7,-2.384421546736849E7
exp5_kmeans_unit_norm_features1BEST1,1,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808121243E7,248569.0,180112.0,32050.0,148062.0,0.0,17.79448343253087,82.20551656746913,0.0,0.14598350231656534,0.02515969692832601,0.11452186550620766,90.89265395838977,97.33431770684712,981994.4942675798,783043.8770054494,198950.61726213037,5.45213253013447,4.347538625996321,1.1045939041381494,282937.3323245465,1.5708966216828781,5200195.057349628,0.0,0.0,0.0,0.0,1.0,180108.0,1.0,4.0,NaN,0.0,NaN,NaN,0.9996835232194017,0.043010752688172046,0.1779448343253087,0.031160412784489857,0.9688395872155101,0.8220551656746913,NaN,0.1779448343253087,NaN,NaN,0.8436973226635931,0.1491229707638634,NaN,0.1779448343253087,1.469,2.302,1.37,2.26,1370.0,2260.0,8877813.0,3.3065289E7,3678939.0,86.94034822776939,23.889016675338745,?,0.0,0.0,0.0,0.0,-2.342573568009939E7,-2.8854435494009737E7,-2.688674054394817E7,-2.4342114737745196E7,-2.3853865737745274E7
exp5_kmeans_unit_norm_features1BEST1,1,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808121243E7,248569.0,180524.0,30941.0,149583.0,0.0,17.139549312002835,82.86045068799716,0.0,0.13899440327475576,0.025272921879499043,0.11488399852795918,91.31384566681626,97.65673820086732,983207.2079405991,787588.1108000133,195619.09714058577,5.446407169908705,4.3627889410827,1.0836182288260052,278527.4637099184,1.5428832936890295,5118558.466887536,0.0,0.0,0.0,0.0,1.0,180521.0,1.0,3.0,NaN,0.0,NaN,NaN,0.999401731654489,0.02702702702702703,0.17139549312002836,0.03159295802264817,0.9684070419773516,0.8286045068799717,NaN,0.17139549312002836,NaN,NaN,0.8407710051339196,0.14241942679283284,NaN,0.17139549312002836,1.346,2.079,1.27,2.08,1270.0,2080.0,8877813.0,3.3065289E7,3678939.0,86.74303693691698,24.084110699962576,?,0.0,0.0,0.0,0.0,-2.342110077287349E7,-2.884980058678411E7,-2.6882054878612038E7,-2.433742907240908E7,-2.384918007240909E7
exp5_kmeans_unit_norm_features1BEST1,1,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808121243E7,248569.0,180972.0,34016.0,146956.0,0.0,18.796277877240676,81.20372212275932,0.0,0.1561922141655018,0.025133870876871668,0.11435016335840432,90.80564098003983,97.19595998717148,986701.163542157,781746.9224411654,204954.2411009916,5.452231082941875,4.319712013135542,1.1325190698063325,287139.8894582145,1.5866536782387028,5277457.237087234,0.0,0.0,1.6027146670498444E-4,29.0,0.9998397285332951,180914.0,1.0,29.0,0.0,0.0,0.0,-1.6027146670498444E-4,0.999066004211271,0.14356435643564355,0.18796277877240677,0.030847894719298052,0.9691521052807021,0.8120372212275933,NaN,0.18796277877240677,NaN,NaN,0.8463475683724606,0.15177661168523168,NaN,0.18796277877240677,1.307,2.082,1.22,2.08,1220.0,2080.0,8877813.0,3.3065289E7,3678939.0,86.97643834405322,23.95707623278747,?,0.0,0.0,0.0,0.0,-2.3419363690949365E7,-2.884806350485962E7,-2.6880311771007597E7,-2.433568596480475E7,-2.384743696480485E7
exp5_kmeans_unit_norm_features1BEST1,1,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808121243E7,248569.0,181195.0,33432.0,147763.0,0.0,18.450840254973922,81.54915974502607,0.0,0.15210904607074688,0.0251427329449901,0.1143535949243529,90.8601948562762,97.22600528990814,984369.4947086169,787229.1202475801,197140.37446103676,5.432652637813499,4.344651454221033,1.0880011835924654,283561.5263479659,1.5649522688151762,5209597.826507408,0.0,0.0,0.0,0.0,1.0,181189.0,1.0,6.0,NaN,0.0,NaN,NaN,0.9998620225289615,0.1935483870967742,0.18450840254973924,0.03132958427726362,0.9686704157227359,0.8154915974502608,NaN,0.18450840254973924,NaN,NaN,0.8423268674514264,0.15344532163507754,NaN,0.18450840254973924,1.479,2.046,1.24,2.05,1240.0,2050.0,8877813.0,3.3065289E7,3678939.0,86.99246667954414,24.02640407138372,?,0.0,0.0,0.0,0.0,-2.341031470649536E7,-2.883901452040591E7,-2.6871283453323163E7,-2.432665764712014E7,-2.3838408647120107E7
exp5_kmeans_unit_norm_features1BEST1,1,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808121243E7,248569.0,180551.0,33347.0,147204.0,0.0,18.469573693859353,81.53042630614064,0.0,0.15226005330200434,0.025066101131239936,0.11412048290995978,90.58589426215846,97.03098720508888,981288.0695525969,778068.919313096,203219.15023950092,5.434963359674534,4.309413513705801,1.125549845968734,286796.0005101836,1.5884486959927313,5269284.941028354,0.0,0.0,0.0,0.0,1.0,180544.0,1.0,7.0,NaN,0.0,NaN,NaN,0.9992522598369372,0.04929577464788732,0.18469573693859354,0.031549207134890955,0.9684507928651092,0.8153042630614065,NaN,0.18469573693859354,NaN,NaN,0.8453964778195688,0.156536896432555,NaN,0.18469573693859354,1.709,2.015,1.62,1.98,1620.0,1980.0,8877813.0,3.3065289E7,3678939.0,87.0762277694391,24.049342607589868,?,0.0,0.0,0.0,0.0,-2.3426209983017504E7,-2.8854909796928E7,-2.688718214515863E7,-2.43425563389557E7,-2.3854307338955805E7
exp5_kmeans_unit_norm_features1BEST1,1,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808121243E7,248569.0,181330.0,34241.0,147089.0,0.0,18.883251530359015,81.11674846964098,0.0,0.15676324618990806,0.025179784841020916,0.11446840023221413,90.99272300732632,97.32195715604087,984913.2258810423,784280.4518667626,200632.7740142797,5.431606606083066,4.325155527859497,1.1064510782235688,284117.93273044954,1.566855637403902,5219726.764129869,0.0,0.0,0.0,0.0,1.0,181328.0,1.0,2.0,NaN,0.0,NaN,NaN,0.9998510985617224,0.06896551724137931,0.18883251530359013,0.031155563622835468,0.9688444363771642,0.8111674846964099,NaN,0.18883251530359013,NaN,NaN,0.8440712330235445,0.14798359525858387,NaN,0.18883251530359013,1.271,2.478,1.18,2.47,1180.0,2470.0,8877813.0,3.3065289E7,3678939.0,86.81519880880163,24.03577534250916,?,0.0,0.0,0.0,0.0,-2.341574554841028E7,-2.8844445362320855E7,-2.687668434265376E7,-2.433205853645084E7,-2.3843809536450855E7
exp5_kmeans_unit_norm_features1BEST1,1,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808121243E7,248569.0,180134.0,30791.0,149343.0,0.0,17.09338603484073,82.90661396515927,0.0,0.13844464432875964,0.02525148651584299,0.11479855405504584,91.23993390740821,97.58836165659521,980065.4994550865,784273.1660780122,195792.33337707433,5.4407579882481185,4.353831958864024,1.0869260293840937,280742.38754398614,1.5585196994680968,5158667.62565815,0.0,0.0,0.0,0.0,1.0,180128.0,1.0,6.0,NaN,0.0,NaN,NaN,0.9994059779712204,0.05309734513274336,0.1709338603484073,0.031861937806066644,0.9681380621939333,0.8290661396515927,NaN,0.1709338603484073,NaN,NaN,0.8408402396842289,0.1440222678104478,NaN,0.1709338603484073,1.313,2.092,1.23,2.09,1230.0,2090.0,8877813.0,3.3065289E7,3678939.0,87.07573251024237,24.081334688938014,?,0.0,0.0,0.0,0.0,-2.34294292990867E7,-2.8858129112997245E7,-2.6890434092848983E7,-2.434580828664594E7,-2.385755928664594E7
exp5_kmeans_unit_norm_features1BEST1,1,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808121244E7,248570.0,180545.0,31828.0,148717.0,0.0,17.6288459940735,82.3711540059265,0.0,0.14375278020970014,0.025200291778417046,0.11458837953976742,91.07074549012054,97.42869637815512,980182.0531853971,785990.5651809847,194191.4880044124,5.429017991001673,4.353433023240658,1.0755849677610145,278950.20990698045,1.5450453344428283,5124506.101390233,0.0,0.0,0.0,0.0,1.0,180539.0,1.0,6.0,NaN,0.0,NaN,NaN,0.9997895191620647,0.13636363636363635,0.176288459940735,0.03169197885029136,0.9683080211497085,0.8237115400592651,NaN,0.176288459940735,NaN,NaN,0.8408817695901483,0.14900838262597685,NaN,0.176288459940735,1.216,2.049,1.18,2.03,1180.0,2030.0,8877813.0,3.3065422E7,3678806.0,86.82267578719987,24.038985136274192,?,0.0,0.0,0.0,0.0,-2.34211462733963E7,-2.8849846087306514E7,-2.6882219494470388E7,-2.433759270614977E7,-2.384934370614984E7
exp5_kmeans_unit_norm_features1BEST1,1,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808121244E7,248570.0,180383.0,34200.0,146183.0,0.0,18.959658060903745,81.04034193909625,0.0,0.15824425896891403,0.02513036343089372,0.11427357566809815,90.78224811028538,97.11796263298959,984052.9989566093,778205.3191349506,205847.67982165865,5.455353325738065,4.314183260811443,1.1411700649266208,287610.011500078,1.5944407815596704,5286439.240349844,0.0,0.0,0.0,0.0,1.0,180379.0,1.0,4.0,NaN,0.0,NaN,NaN,0.9998835784653424,0.16,0.18959658060903745,0.030432504067187012,0.9695674959328133,0.8104034193909626,NaN,0.18959658060903745,NaN,NaN,0.8452032639226936,0.15397840174311034,NaN,0.18959658060903745,1.247,2.094,1.18,2.1,1180.0,2100.0,8877813.0,3.3065422E7,3678806.0,87.27762594036024,24.104924363319235,?,0.0,0.0,0.0,0.0,-2.3432877076277934E7,-2.886157689018842E7,-2.6893703110887103E7,-2.434907632256642E7,-2.3860827322566472E7
