Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumRules
exp7_kmeans_unit_norm_features1BEST1,1,1,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01808182031E7,277323.0,171495.0,39891.0,131604.0,0.0,23.26073646461996,76.73926353538005,0.0,0.18146773851445713,0.03581297183773509,0.13390853817940773,91.76182535275558,95.87941008795664,852449.2035506355,658251.7491921212,194197.45435851428,4.9706942100389835,3.8383145234095526,1.1323796866294311,234050.62226389596,1.3647664495401963,4700307.504025802,0.15132496513249652,434.0,0.01393608378254965,2350.0,0.9860639162174504,166277.0,0.8486750348675035,2434.0,0.15589080459770116,0.15132496513249652,0.1535739561217268,0.13941143658587538,0.8494667985034501,0.1139599002535116,0.2326073646461996,0.05056189991648308,0.9494381000835168,0.7673926353538004,NaN,0.2326073646461996,NaN,NaN,0.8375967712386564,0.1847325087787086,NaN,0.2326073646461996,161.725,0.411,160.37,0.41,160370.0,410.0,3414146.0,3.6889113E7,4103416.0,96.24653779993587,59.59282444719348,?,6407.0
exp7_kmeans_unit_norm_features1BEST1,1,2,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01808182033E7,277323.0,167789.0,36231.0,131558.0,0.0,21.59319144878389,78.40680855121612,0.0,0.16538370567734717,0.03600275059117831,0.13454329045880367,92.19257863830634,96.26868156932888,836261.1918908223,655364.6430813513,180896.54880947096,4.984004862600184,3.9058856246914355,1.0781192379087483,222770.76194942012,1.327683947990751,4475113.572055381,0.09486725663716813,268.0,0.010565941659998546,1743.0,0.9894340583400014,163221.0,0.9051327433628319,2557.0,0.13326703132769765,0.09486725663716813,0.1108354011579818,0.0996709691733638,0.8412516069475496,0.10979019658936014,0.21593191448783888,0.05026351664497529,0.9497364833550246,0.7840680855121611,NaN,0.21593191448783888,NaN,NaN,0.8312108031658136,0.17308201093719774,NaN,0.21593191448783888,134.774,0.17,134.28,0.17,134280.0,170.0,3409898.0,3.6889113E7,4103416.0,95.86444880176889,59.61348929370902,?,6399.0
exp7_kmeans_unit_norm_features1BEST1,1,3,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01808182035E7,277323.0,170293.0,37977.0,132316.0,0.0,22.300975377731323,77.69902462226868,0.0,0.17182247796318179,0.035919546210955125,0.13421156425789968,92.02296815757165,96.08231417314293,846132.51468754,658888.1502228405,187244.36446469952,4.968686409233145,3.869144064775654,1.099542344457491,228023.89202370794,1.339009190182262,4579080.875505333,0.1499811106913487,397.0,0.013629910645049688,2285.0,0.9863700893549503,165361.0,0.8500188893086513,2250.0,0.14802386278896346,0.1499811106913487,0.14899605929817977,0.13547273158973888,0.8336636106066969,0.10802854507638372,0.22300975377731322,0.050759696679716075,0.949240303320284,0.7769902462226868,NaN,0.22300975377731322,NaN,NaN,0.8338451425058229,0.17849744387109745,NaN,0.22300975377731322,125.564,0.156,124.97,0.15,124970.0,150.0,3410960.0,3.6889113E7,4103416.0,96.00864392546963,59.62651166530856,?,6401.0
exp7_kmeans_unit_norm_features1BEST1,1,4,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01808182038E7,277323.0,168517.0,36593.0,131924.0,0.0,21.714723143659096,78.2852768563409,0.0,0.16557686510643058,0.03596809525734965,0.13437649975870217,92.14691355406694,96.19985444294446,837985.6016859293,654885.1006357935,183100.50105013582,4.972706621206937,3.88616638461279,1.0865402365941468,224919.9628481202,1.3347019164127072,4517162.321592267,0.13880918220946914,387.0,0.013600516505861979,2254.0,0.986399483494138,163475.0,0.8611908177905309,2401.0,0.1465354032563423,0.13880918220946914,0.14256769202431388,0.1285890682573791,0.8388261318002918,0.09831008638613146,0.21714723143659095,0.050793464938883065,0.9492065350611173,0.782852768563409,NaN,0.21714723143659095,NaN,NaN,0.833131274751136,0.17592085158306198,NaN,0.21714723143659095,158.305,0.184,157.36,0.17,157360.0,170.0,3409898.0,3.6889113E7,4103416.0,95.88468819169579,59.3238519023034,?,6399.0
exp7_kmeans_unit_norm_features1BEST1,1,5,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.0180818204E7,277323.0,170718.0,38314.0,132404.0,0.0,22.44285898382127,77.55714101617873,0.0,0.1735879177481747,0.03590504753704863,0.13414111587286445,91.96605140742197,96.00864051054944,849162.7266487982,658284.2976266507,190878.42902214755,4.9740667454445235,3.8559747515004315,1.1180919939440923,231558.16568717602,1.3563781539566773,4650613.885432037,0.14245193822880556,452.0,0.01199080843952371,2009.0,0.9880091915604763,165536.0,0.8575480617711945,2721.0,0.18366517675741567,0.14245193822880556,0.16045438409655663,0.14782215513613187,0.8573972972081003,0.13402227258195623,0.22442858983821273,0.050611070755170635,0.9493889292448294,0.7755714101617873,NaN,0.22442858983821273,NaN,NaN,0.8353402203553965,0.17854098300978866,NaN,0.22442858983821273,138.131,0.173,136.98,0.18,136980.0,180.0,3414677.0,3.6889113E7,4103416.0,96.25757096498319,59.59477032298903,?,6408.0
exp7_kmeans_unit_norm_features1BEST1,1,6,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.0180818204299998E7,277323.0,169082.0,37845.0,131237.0,0.0,22.382630912811535,77.61736908718846,0.0,0.17349648806925097,0.03596988865069474,0.13440142638310418,92.11224392427546,96.17160782414093,843142.9782088959,658810.0088330114,184332.9693758845,4.9865921754468,3.896393518133281,1.0901986573135196,225849.19550747066,1.3357376628350188,4537224.68122328,0.11708524938096923,331.0,0.012727436768818982,2116.0,0.9872725632311811,164139.0,0.8829147506190308,2496.0,0.13526767470371884,0.11708524938096923,0.1255214258627228,0.11204052412947756,0.8449911057460849,0.09489853538875435,0.22382630912811535,0.04980130489429662,0.9501986951057037,0.7761736908718847,NaN,0.22382630912811535,NaN,NaN,0.8325078817167249,0.17454388074922747,NaN,0.22382630912811535,152.463,0.208,151.1,0.18,151100.0,180.0,3412022.0,3.6889113E7,4103416.0,95.92564554476526,59.37162719501637,?,6403.0
exp7_kmeans_unit_norm_features1BEST1,1,7,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01808182045E7,277323.0,170799.0,38251.0,132548.0,0.0,22.395330183431987,77.60466981656802,0.0,0.17312238494747717,0.035845569493721696,0.13407926757154728,91.80200695416818,95.95061188796409,850810.6792470337,658974.9993509719,191835.67989606177,4.981356326717567,3.8581900324414775,1.1231662942760894,232682.33830101413,1.3623167483475556,4673956.215478971,0.10519877675840979,344.0,0.011090617146882033,1858.0,0.9889093828531179,165671.0,0.8948012232415902,2926.0,0.15622161671207993,0.10519877675840979,0.1257309941520468,0.11431746258623557,0.8621513463650996,0.11389461672587244,0.22395330183431988,0.05054870435221503,0.949451295647785,0.7760466981656802,NaN,0.22395330183431988,NaN,NaN,0.836211181222949,0.1816509206644291,NaN,0.22395330183431988,132.167,0.167,130.87,0.17,130870.0,170.0,3410960.0,3.6889113E7,4103416.0,96.08721362537251,59.364205520966415,?,6401.0
exp7_kmeans_unit_norm_features1BEST1,1,8,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01808182047E7,277324.0,169439.0,39310.0,130129.0,0.0,23.200089707800448,76.79991029219956,0.0,0.1818768488133966,0.035849743697049956,0.1340213680117988,91.81958227985645,95.91728563278907,843710.506447635,653333.2539696371,190377.2524779979,4.97943511498318,3.855861129784979,1.1235739851982005,230207.73089725387,1.3586466568927689,4624049.156417017,0.0995059985885674,282.0,0.012424597100927344,2070.0,0.9875754028990726,164535.0,0.9004940014114327,2552.0,0.11989795918367346,0.0995059985885674,0.10875433860393366,0.09545075302274178,0.8429336356216091,0.09107351463346088,0.23200089707800448,0.04936332791223115,0.950636672087769,0.7679991029219956,NaN,0.23200089707800448,NaN,NaN,0.8376159659408181,0.18241865373984453,NaN,0.23200089707800448,129.068,0.206,128.05,0.2,128050.0,200.0,3409367.0,3.6889246E7,4103283.0,96.21279634558749,59.61203785216407,?,6398.0
exp7_kmeans_unit_norm_features1BEST1,1,9,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01808182049E7,277324.0,170924.0,38276.0,132648.0,0.0,22.393578432519718,77.60642156748028,0.0,0.17218189837441167,0.03586162533031096,0.13410889189012576,91.85429911327239,95.98494680357929,851709.5959214243,660569.4617720456,191140.13414937875,4.982972525341229,3.864696951698097,1.1182755736431322,231782.9782345069,1.3560587058254365,4656060.8408682095,0.08884758364312267,239.0,0.01570431660663124,2642.0,0.9842956833933688,165592.0,0.9111524163568773,2451.0,0.08295730649080181,0.08884758364312267,0.0858014719080955,0.07071727836506222,0.8353812597632975,0.0747227748068132,0.22393578432519717,0.05126685701863629,0.948733142981364,0.7760642156748029,NaN,0.22393578432519717,NaN,NaN,0.8358690053750584,0.18114846502758314,NaN,0.22393578432519717,129.54,0.176,128.42,0.17,128420.0,170.0,3408836.0,3.6889246E7,4103283.0,96.09534061922258,59.396394817316846,?,6397.0
exp7_kmeans_unit_norm_features1BEST1,1,10,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01808182051E7,277324.0,169699.0,39555.0,130144.0,0.0,23.30891755402212,76.69108244597788,0.0,0.18228884844500723,0.03578692693861799,0.1338432420603278,91.65865630616062,95.78976175816193,846344.3786088506,656262.2276254868,190082.15098336386,4.9873268469988075,3.867213287205504,1.1201135597933038,230754.97510280774,1.359789834370313,4635851.333002521,0.11386138613861387,368.0,0.010788925132308506,1796.0,0.9892110748676914,164671.0,0.8861386138613861,2864.0,0.17005545286506468,0.11386138613861387,0.13639733135656043,0.1255628009137247,0.845513994143697,0.12237188457749934,0.2330891755402212,0.05029422900684235,0.9497057709931574,0.7669108244597788,NaN,0.2330891755402212,NaN,NaN,0.8353094385677184,0.18760995761135402,NaN,0.2330891755402212,128.271,0.179,127.05,0.16,127050.0,160.0,3408305.0,3.6889246E7,4103283.0,96.05301150861231,59.24046069084469,?,6396.0
