Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureExtraArcs,measureMissingArcs,measureReversedArcs,measureDivergence,measureBayesScore,measureBDeuScore,measureMDLScore,measureAICScore,measureEntropyScore
exp7_kmeans_unit_norm_features2BEST1,1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808152132E7,277323.0,171495.0,35422.0,136073.0,0.0,20.654829586868424,79.34517041313158,0.0,0.15879913041137333,0.035465559553532804,0.1375375909844857,90.87166785639327,98.47783619923824,852449.2035506355,738534.8709542778,113914.33259635768,4.9706942100389835,4.3064513306759835,0.664242879363,227534.34375071336,1.326769548679048,4569444.733837137,0.12133891213389121,348.0,0.015744809550072052,2655.0,0.9842551904499279,165972.0,0.8786610878661087,2520.0,0.11588411588411589,0.12133891213389121,0.11854879918242207,0.10323464890735151,0.8043526001149376,0.08104859700933557,0.20654829586868423,0.04697340284951074,0.9530265971504894,0.7934517041313158,0.17788580257213987,0.20654829586868423,0.18192664100028963,0.14819894748493492,0.8097938148766148,0.15509422467477768,0.11198165077314488,0.20654829586868423,4.769,2.054,4.7,2.06,4700.0,2060.0,7681746.0,4.7982283E7,5336226.0,84.90801481092743,28.030757129233148,?,0.0,0.0,0.0,0.0,-3.0054820935188502E7,-3.4537063183197126E7,-3.3032353739339314E7,-3.0814617275126513E7,-3.03935122751265E7
exp7_kmeans_unit_norm_features2BEST1,1,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808152133E7,277323.0,167789.0,32210.0,135579.0,0.0,19.196729225396183,80.80327077460382,0.0,0.14434589317770422,0.03561121963431149,0.1379844799536732,91.18998167175346,98.73092828985745,836261.1918908223,728484.6504898615,107776.54140096076,4.984004862600184,4.341671089820319,0.6423337727798649,219253.9720951967,1.3067243507929405,4404466.8055363735,0.11964601769911505,338.0,0.016918842899056763,2791.0,0.9830811571009432,162173.0,0.8803539823008849,2487.0,0.108021732182806,0.11964601769911505,0.11353711790393012,0.09769949584432737,0.8062987816274423,0.10084551367282447,0.1919672922539618,0.047147665907300754,0.9528523340926993,0.8080327077460382,0.16460396909807032,0.1919672922539618,0.1690091998706467,0.13470299273538056,0.8078734803634929,0.14918819840438052,0.10358964826182361,0.1919672922539618,4.64,2.24,4.45,2.24,4450.0,2240.0,7687273.0,4.7982283E7,5336226.0,84.36488685193905,28.06869560785978,?,0.0,0.0,0.0,0.0,-3.012135323998328E7,-3.4610928811761804E7,-3.3104503218525216E7,-3.0883153956519805E7,-3.046136295651982E7
exp7_kmeans_unit_norm_features2BEST1,1,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808152133E7,277323.0,170293.0,34318.0,135975.0,0.0,20.152325697474353,79.84767430252565,0.0,0.15402783690615435,0.03543008144606762,0.13732317842507785,90.76899907319165,98.30992467488714,846132.51468754,732972.099767614,113160.41491992597,4.968686409233145,4.304182202249147,0.664504206983998,226685.77229696143,1.3311514407342722,4552209.3121989565,0.1314695882130714,348.0,0.017399759016021855,2917.0,0.9826002409839781,164729.0,0.8685304117869286,2299.0,0.10658499234303216,0.1314695882130714,0.11772665764546683,0.10289828264284255,0.8120837534769607,0.07535626102742839,0.20152325697474352,0.04702827524206753,0.9529717247579325,0.7984767430252565,0.1773865483929765,0.20152325697474352,0.17963987490828986,0.14539695917510273,0.8090899656675472,0.15782103200178063,0.11318299565046257,0.20152325697474352,4.83,2.064,4.73,2.07,4730.0,2070.0,7681746.0,4.7982283E7,5336226.0,84.81088476919192,28.110218678324888,?,0.0,0.0,0.0,0.0,-3.007388050760004E7,-3.455612275560823E7,-3.305151500327719E7,-3.0833778539064452E7,-3.0412673539064437E7
exp7_kmeans_unit_norm_features2BEST1,1,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808152133E7,277323.0,168517.0,33439.0,135078.0,0.0,19.843101882896086,80.1568981171039,0.0,0.1513142975824802,0.0356194074006152,0.13787475625573456,91.25360770726104,98.70424893471129,837985.6016859293,734542.288353752,103443.31333217735,4.972706621206937,4.358861648105248,0.6138449731016892,219541.67492151877,1.3027865136545203,4409147.900510739,0.14347202295552366,400.0,0.014553880129609181,2412.0,0.9854461198703908,163317.0,0.8565279770444764,2388.0,0.1422475106685633,0.14347202295552366,0.14285714285714285,0.12837611109618205,0.8293205627226062,0.09538021545199767,0.1984310188289609,0.04641022146409004,0.9535897785359102,0.8015689811710391,0.17394353021010384,0.1984310188289609,0.17740461194436555,0.14278743047456977,0.8065790031214388,0.148596350537217,0.1128483360550581,0.1984310188289609,4.585,2.431,4.52,2.4,4520.0,2400.0,7681746.0,4.7982283E7,5336226.0,84.51669564494976,28.014396415890417,?,0.0,0.0,0.0,0.0,-3.0095931485345908E7,-3.457817373335381E7,-3.3073520510838617E7,-3.0855784046625827E7,-3.0434679046625827E7
exp7_kmeans_unit_norm_features2BEST1,1,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808152133E7,277323.0,170718.0,35109.0,135609.0,0.0,20.56549397251608,79.43450602748392,0.0,0.15899968916340176,0.035438729214279055,0.13732048075831108,90.7716384269128,98.28420306534446,849162.7266487982,737293.6190675369,111869.10758126131,4.9740667454445235,4.3187807909390745,0.6552859545054495,228430.94734732073,1.3380601187181242,4587806.836538083,0.10841474944847147,344.0,0.01484377331463189,2487.0,0.9851562266853681,165058.0,0.8915852505515285,2829.0,0.12151183327446131,0.10841474944847147,0.1145902731512325,0.09896086050405824,0.8199175742513286,0.09998578303907431,0.2056549397251608,0.04613819392162745,0.9538618060783726,0.7943450602748392,0.17822042059254292,0.2056549397251608,0.182765148257533,0.14891149287424266,0.8085549336386242,0.15690550171563944,0.11589638541922236,0.2056549397251608,4.717,2.531,4.65,2.53,4650.0,2530.0,7681746.0,4.7982283E7,5336226.0,84.68761349125458,28.14614194885557,?,0.0,0.0,0.0,0.0,-3.007002920760244E7,-3.455227145561081E7,-3.304764457628425E7,-3.0829908112071425E7,-3.0408803112071432E7
exp7_kmeans_unit_norm_features2BEST1,1,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808152133E7,277323.0,169082.0,33316.0,135766.0,0.0,19.704048923007772,80.29595107699222,0.0,0.14949210393278264,0.035591946151997886,0.13771313235179303,91.14440296242577,98.5413154695179,843142.9782088959,735956.1084300613,107186.86977883463,4.9865921754468,4.352657931832255,0.6339342436145458,222493.4863729864,1.3158910254964242,4469809.75741194,0.10222851078882207,289.0,0.014423626357102043,2398.0,0.985576373642898,163857.0,0.8977714892111779,2538.0,0.10755489393375511,0.10222851078882207,0.1048240841494378,0.09002538104467853,0.8130857409524199,0.07607964320058475,0.19704048923007772,0.04701497261919673,0.9529850273808033,0.8029595107699223,0.16875995376836128,0.19704048923007772,0.17316426040133834,0.13945850724810183,0.8066783437024821,0.14912844182440085,0.10802201489620325,0.19704048923007772,4.853,2.616,4.74,2.62,4740.0,2620.0,7681746.0,4.7982283E7,5336226.0,84.52762564909334,28.355412142738952,?,0.0,0.0,0.0,0.0,-3.0100088253981777E7,-3.458233050198998E7,-3.307766369342614E7,-3.0859927229213372E7,-3.0438822229213364E7
exp7_kmeans_unit_norm_features2BEST1,1,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808152133E7,277323.0,170799.0,34804.0,135995.0,0.0,20.377168484593,79.622831515407,0.0,0.1564512898190185,0.03543985195042126,0.13732292234862167,90.76294730865138,98.2718556287052,850810.6792470337,736476.3383764146,114334.34087061905,4.981356326717567,4.311947601428665,0.6694087252889013,230283.84976809577,1.3482739932206615,4625777.095103766,0.13058103975535168,427.0,0.012075521253036788,2023.0,0.9879244787469632,165506.0,0.8694189602446483,2843.0,0.1742857142857143,0.13058103975535168,0.14930069930069928,0.13657434820243528,0.8352409440892273,0.10251649854983093,0.20377168484593,0.04693058966157105,0.9530694103384294,0.79622831515407,0.17685013363626825,0.20377168484593,0.1809510031768052,0.1469618712377017,0.8102808142401302,0.15654869929300005,0.11347110389919056,0.20377168484593,4.417,2.271,4.36,2.24,4360.0,2240.0,7681746.0,4.7982283E7,5336226.0,84.78562520857851,27.864522936676984,?,0.0,0.0,0.0,0.0,-3.0058498058536496E7,-3.4540740306544945E7,-3.3036102699906483E7,-3.0818366235693716E7,-3.0397261235693708E7
exp7_kmeans_unit_norm_features2BEST1,1,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808152133E7,277324.0,169439.0,34041.0,135398.0,0.0,20.090416019924575,79.90958398007542,0.0,0.15373615651737027,0.035533593421486154,0.13767975228430548,91.0098474464574,98.53554191853027,843710.506447635,730018.5844619033,113691.9219857317,4.97943511498318,4.308444835379714,0.6709902796034661,224245.63881544123,1.3234594090819778,4504292.071136111,0.0776287932251235,220.0,0.015539749707391736,2589.0,0.9844602502926083,164016.0,0.9223712067748765,2614.0,0.07831968672125311,0.0776287932251235,0.07797270955165692,0.06236004806327132,0.8130380552025138,0.0708565207378486,0.20090416019924576,0.04670813618498093,0.9532918638150191,0.7990958398007543,NaN,0.20090416019924576,NaN,NaN,0.8101624046045233,0.15155795976859718,NaN,0.20090416019924576,4.398,2.305,4.34,2.31,4340.0,2310.0,7681746.0,4.7982456E7,5336053.0,84.50533820430951,28.071170276078554,?,0.0,0.0,0.0,0.0,-3.0092296426372662E7,-3.457453867438148E7,-3.306980606212899E7,-3.0852068838685576E7,-3.0430963838685572E7
exp7_kmeans_unit_norm_features2BEST1,1,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0180815213400003E7,277324.0,170924.0,34675.0,136249.0,0.0,20.28679413072477,79.71320586927523,0.0,0.15561621878012974,0.03540216774498336,0.1373365709447555,90.67746582465753,98.29507402923325,851709.5959214243,737368.3977179979,114341.19820342644,4.982972525341229,4.314013232302064,0.6689592930391661,229475.42005300237,1.3425582133170437,4609706.5685710525,0.14312267657992564,385.0,0.015781589928314133,2655.0,0.9842184100716859,165579.0,0.8568773234200744,2305.0,0.12664473684210525,0.14312267657992564,0.1343804537521815,0.11991130547607586,0.7948594944738195,0.05978026892760307,0.20286794130724767,0.046715350974106215,0.9532846490258937,0.7971320586927524,0.17781009208510226,0.20286794130724767,0.18052573533909547,0.14670265408803995,0.8101109978357676,0.1574812289945284,0.11164750687519569,0.20286794130724767,4.528,2.124,4.45,2.12,4450.0,2120.0,7681746.0,4.7982456E7,5336053.0,84.63761671854158,28.01524391554519,?,0.0,0.0,0.0,0.0,-3.0060152662890125E7,-3.454239491089882E7,-3.3037736985558044E7,-3.081999976211463E7,-3.0398894762114633E7
exp7_kmeans_unit_norm_features2BEST1,1,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0180815213400003E7,277324.0,169699.0,36757.0,132942.0,0.0,21.66011585218534,78.33988414781466,0.0,0.16998488001143558,0.035296681089296414,0.13683032906742676,90.40302248530861,97.92757871743687,846344.3786088506,731857.3223412033,114487.0562676473,4.9873268469988075,4.312679051386298,0.6746477956125099,229196.71321968874,1.3506073295640442,4604545.960605649,0.14263613861386137,461.0,0.013522199595114947,2251.0,0.9864778004048851,164216.0,0.8573638613861386,2771.0,0.16998525073746312,0.14263613861386137,0.155114401076716,0.14073000707425232,0.8217208748878185,0.09814830799135615,0.2166011585218534,0.04595622661622571,0.9540437733837742,0.7833988414781466,0.18696106032401058,0.2166011585218534,0.1920304380294343,0.1592583233732067,0.8112680411785381,0.16457150992886116,0.12249872806851644,0.2166011585218534,4.387,2.07,4.34,2.07,4340.0,2070.0,7681746.0,4.7982456E7,5336053.0,84.51964949705066,28.148975899826983,?,0.0,0.0,0.0,0.0,-3.0088276435933545E7,-3.457051868394182E7,-3.3065946046376914E7,-3.0848208822933454E7,-3.042710382293343E7
