k,mean_coincidence,coincidence_ratio,experiment,n_best
0,1.3251424987045572,0.6625712493522786,exp2_norm_kmeans,1
1,0.8146875115496914,0.8146875115496914,exp2_norm_kmeans,1
2,0.832240084287802,0.832240084287802,exp2_norm_kmeans,1
3,0.29646186141112235,0.29646186141112235,exp2_norm_kmeans,1
4,0.8646346583946735,0.8646346583946735,exp2_norm_kmeans,1
5,0.27614203049857283,0.27614203049857283,exp2_norm_kmeans,1
6,0.33185729801988473,0.16592864900994236,exp2_norm_kmeans,1
7,0.9906319605188453,0.9906319605188453,exp2_norm_kmeans,1
8,0.3410077990006071,0.3410077990006071,exp2_norm_kmeans,1
9,0.6038047335452217,0.6038047335452217,exp2_norm_kmeans,1
10,0.7601709793145561,0.7601709793145561,exp2_norm_kmeans,1
11,0.8733551399535568,0.8733551399535568,exp2_norm_kmeans,1
12,0.7991933971112362,0.3995966985556181,exp2_norm_kmeans,1
13,0.9531462066523732,0.9531462066523732,exp2_norm_kmeans,1
14,1.3015524759074624,0.6507762379537312,exp2_norm_kmeans,1
15,0.8604207147081187,0.8604207147081187,exp2_norm_kmeans,1
16,1.2162343470483006,0.4054114490161002,exp2_norm_kmeans,1
17,0.9580326752893125,0.9580326752893125,exp2_norm_kmeans,1
18,0.4063906354407349,0.4063906354407349,exp2_norm_kmeans,1
19,0.9558126441582971,0.9558126441582971,exp2_norm_kmeans,1
20,0.9746849050012093,0.9746849050012093,exp2_norm_kmeans,1
21,0.5642417835863924,0.5642417835863924,exp2_norm_kmeans,1
22,0.9887080596628596,0.9887080596628596,exp2_norm_kmeans,1
23,0.978928531484174,0.978928531484174,exp2_norm_kmeans,1
24,0.9454753510236902,0.4727376755118451,exp2_norm_kmeans,1
25,0.5268503095244015,0.5268503095244015,exp2_norm_kmeans,1
26,0.7758877203268716,0.7758877203268716,exp2_norm_kmeans,1
27,0.9813452914798206,0.9813452914798206,exp2_norm_kmeans,1
28,0.4836978901727103,0.4836978901727103,exp2_norm_kmeans,1
29,0.8827090717501677,0.8827090717501677,exp2_norm_kmeans,1
30,0.20099354638397907,0.20099354638397907,exp2_norm_kmeans,1
31,0.9545582146115517,0.47727910730577583,exp2_norm_kmeans,1
32,0.003236245954692557,0.003236245954692557,exp2_norm_kmeans,1
33,0.856103623390259,0.856103623390259,exp2_norm_kmeans,1
34,1.5127463336388633,0.7563731668194317,exp2_norm_kmeans,1
35,1.6478470065168402,0.8239235032584201,exp2_norm_kmeans,1
36,0.9954693564928405,0.49773467824642026,exp2_norm_kmeans,1
37,0.9999648716057189,0.9999648716057189,exp2_norm_kmeans,1
38,0.6852351392635445,0.34261756963177226,exp2_norm_kmeans,1
39,1.0380903174742766,0.5190451587371383,exp2_norm_kmeans,1
40,0.9296721653789936,0.9296721653789936,exp2_norm_kmeans,1
41,0.8330407156592258,0.4165203578296129,exp2_norm_kmeans,1
42,0.9619356572481572,0.9619356572481572,exp2_norm_kmeans,1
43,1.237651458489155,0.6188257292445775,exp2_norm_kmeans,1
44,0.9914257830653407,0.9914257830653407,exp2_norm_kmeans,1
45,0.539525871894233,0.539525871894233,exp2_norm_kmeans,1
46,0.506710510291073,0.506710510291073,exp2_norm_kmeans,1
0,0.9632674030310814,0.9632674030310814,exp2_kmeans_demin,1
1,0.9372266303272744,0.9372266303272744,exp2_kmeans_demin,1
2,0.2558362103800537,0.2558362103800537,exp2_kmeans_demin,1
3,0.9989010126383546,0.9989010126383546,exp2_kmeans_demin,1
4,0.9670458265709131,0.9670458265709131,exp2_kmeans_demin,1
5,0.9981819148370634,0.4990909574185317,exp2_kmeans_demin,1
6,0.43780252669141556,0.43780252669141556,exp2_kmeans_demin,1
7,0.7958183519676895,0.39790917598384473,exp2_kmeans_demin,1
8,0.9614394087842566,0.9614394087842566,exp2_kmeans_demin,1
9,0.8426608678461994,0.8426608678461994,exp2_kmeans_demin,1
10,0.901849464498215,0.901849464498215,exp2_kmeans_demin,1
11,0.9903729240276368,0.9903729240276368,exp2_kmeans_demin,1
12,0.5457461233572074,0.5457461233572074,exp2_kmeans_demin,1
13,0.9054160766801002,0.9054160766801002,exp2_kmeans_demin,1
14,0.5188746749506972,0.5188746749506972,exp2_kmeans_demin,1
15,0.0,,exp2_kmeans_demin,1
16,0.6445155824780526,0.6445155824780526,exp2_kmeans_demin,1
17,1.2421651194348116,0.6210825597174058,exp2_kmeans_demin,1
18,0.9576550813902331,0.9576550813902331,exp2_kmeans_demin,1
19,0.91747184762964,0.91747184762964,exp2_kmeans_demin,1
20,0.1932807679122386,0.1932807679122386,exp2_kmeans_demin,1
21,0.35838555628539476,0.35838555628539476,exp2_kmeans_demin,1
22,0.8650173964648522,0.8650173964648522,exp2_kmeans_demin,1
23,0.565902559095722,0.282951279547861,exp2_kmeans_demin,1
24,0.4136449277757578,0.4136449277757578,exp2_kmeans_demin,1
25,0.5911920911821454,0.5911920911821454,exp2_kmeans_demin,1
26,1.260839053882626,0.630419526941313,exp2_kmeans_demin,1
27,0.9099538116021866,0.9099538116021866,exp2_kmeans_demin,1
28,0.851606864274571,0.851606864274571,exp2_kmeans_demin,1
29,0.24962124754512297,0.24962124754512297,exp2_kmeans_demin,1
30,0.4388824865457556,0.4388824865457556,exp2_kmeans_demin,1
31,0.9999445952684359,0.9999445952684359,exp2_kmeans_demin,1
32,0.5522054339724913,0.27610271698624567,exp2_kmeans_demin,1
33,0.6962753619924786,0.6962753619924786,exp2_kmeans_demin,1
34,0.8985763680340243,0.44928818401701215,exp2_kmeans_demin,1
0,1.0974302171023482,0.5487151085511741,exp2_kmeans_sa_norm,1
1,0.6447642650064795,0.32238213250323977,exp2_kmeans_sa_norm,1
2,0.27657946915701204,0.27657946915701204,exp2_kmeans_sa_norm,1
3,0.5396972294743405,0.5396972294743405,exp2_kmeans_sa_norm,1
4,0.892193206469506,0.892193206469506,exp2_kmeans_sa_norm,1
5,0.535053432575159,0.535053432575159,exp2_kmeans_sa_norm,1
6,0.8473033321882515,0.8473033321882515,exp2_kmeans_sa_norm,1
7,0.5748783736685558,0.5748783736685558,exp2_kmeans_sa_norm,1
