n_clust,som_dim,amd_bin,experiment_name
32,0,,exp2_norm_kmeans
35,0,,exp2_norm_kmeans
44,0,,exp2_norm_kmeans
47,0,,exp2_norm_kmeans
50,0,,exp2_norm_kmeans
68,0,,exp2_norm_kmeans
92,0,,exp2_norm_kmeans
98,0,,exp2_norm_kmeans
14,0,,exp2_kmeans_zero-one
20,0,,exp2_kmeans_zero-one
26,0,,exp2_kmeans_zero-one
29,0,,exp2_kmeans_zero-one
32,0,,exp2_kmeans_zero-one
35,0,,exp2_kmeans_zero-one
38,0,,exp2_kmeans_zero-one
50,0,,exp2_kmeans_zero-one
77,0,,exp2_kmeans_zero-one
101,0,,exp2_kmeans_zero-one
20,0,,exp2_kmeans_demin
23,0,,exp2_kmeans_demin
32,0,,exp2_kmeans_demin
35,0,,exp2_kmeans_demin
38,0,,exp2_kmeans_demin
41,0,,exp2_kmeans_demin
53,0,,exp2_kmeans_demin
59,0,,exp2_kmeans_demin
68,0,,exp2_kmeans_demin
74,0,,exp2_kmeans_demin
5,0,,exp2_kmeans_sa_norm
8,0,,exp2_kmeans_sa_norm
11,0,,exp2_kmeans_sa_norm
14,0,,exp2_kmeans_sa_norm
17,0,,exp2_kmeans_sa_norm
41,0,,exp2_kmeans_sa_norm
65,0,,exp2_kmeans_sa_norm
68,0,,exp2_kmeans_sa_norm
74,0,,exp2_kmeans_sa_norm
89,0,,exp2_kmeans_sa_norm
5,0,0-1,test
5,0,0-1,test
3,0,1-50,test
5,0,0-1,test
3,0,1-50,test
3,0,50-150,test
3,0,150-400,test
5,0,400-600,test
3,0,600-1200,test
3,0,1200-2500,test
5,0,2500-4000,test
3,0,0-4000,test
0,5,0-1,test
0,10,0-1,test
0,5,1-50,test
0,10,1-50,test
0,5,50-150,test
0,5,600-1200,test
0,5,1200-2500,test
0,10,1200-2500,test
0,5,2500-4000,test
5,0,0-4000,exp3_kmeans
8,0,0-4000,exp3_kmeans
11,0,0-4000,exp3_kmeans
20,0,0-4000,exp3_kmeans
23,0,0-4000,exp3_kmeans
5,0,0-4000,exp3_kmeans_unit_norm
14,0,0-4000,exp3_kmeans_unit_norm
17,0,0-4000,exp3_kmeans_unit_norm
29,0,0-4000,exp3_kmeans_unit_norm
59,0,0-4000,exp3_kmeans_unit_norm
11,0,0-4000,exp3_kmeans_zero-one
14,0,0-4000,exp3_kmeans_zero-one
20,0,0-4000,exp3_kmeans_zero-one
26,0,0-4000,exp3_kmeans_zero-one
32,0,0-4000,exp3_kmeans_zero-one
29,0,0-4000,exp3_kmeans_demin
35,0,0-4000,exp3_kmeans_demin
50,0,0-4000,exp3_kmeans_demin
56,0,0-4000,exp3_kmeans_demin
77,0,0-4000,exp3_kmeans_demin
5,0,0-4000,exp3_kmeans_sa_norm
8,0,0-4000,exp3_kmeans_sa_norm
14,0,0-4000,exp3_kmeans_sa_norm
20,0,0-4000,exp3_kmeans_sa_norm
32,0,0-4000,exp3_kmeans_sa_norm
0,5,0-4000,exp3_som
0,7,0-4000,exp3_som
0,9,0-4000,exp3_som
0,5,0-4000,exp3_som_unit_norm
0,5,0-4000,exp3_som_zero-one
0,7,0-4000,exp3_som_zero-one
0,9,0-4000,exp3_som_zero-one
0,11,0-4000,exp3_som_zero-one
0,13,0-4000,exp3_som_zero-one
0,15,0-4000,exp3_som_zero-one
0,17,0-4000,exp3_som_zero-one
0,19,0-4000,exp3_som_zero-one
0,21,0-4000,exp3_som_zero-one
0,5,0-4000,exp3_som_demin
0,7,0-4000,exp3_som_demin
0,9,0-4000,exp3_som_demin
0,11,0-4000,exp3_som_demin
