all_scores,batch_fit_time,dbi,mia,n_sample,preprocessing,silhouette,t0,total_sample,transform,experiment_name,som_dim,n_clust,amd_bin,date,best_clusters
,8.49248600006104,1.59434396886568,24.1639400652354,3295194,,0.273709483588605,1530657147.01812,3295194,,exp2_kmeans,0,5,0-4000,2018-07-04,
,8.74750018119812,2.19848535390595,24.7803397191171,3295194,,0.244406478839891,1530657161.86797,3295194,,exp2_kmeans,0,8,0-4000,2018-07-04,
,8.91550993919373,2.26442374373308,18.307351246008,3295194,,0.226413266409787,1530657177.02184,3295194,,exp2_kmeans,0,11,0-4000,2018-07-04,
,9.06351828575134,2.56239284783153,21.2347631518867,3295194,,0.156322640324217,1530657192.32072,3295194,,exp2_kmeans,0,14,0-4000,2018-07-04,
,10.5496032238007,2.39613024834811,17.5380988494473,3295194,,-0.015942828352449,1530657209.73871,3295194,,exp2_kmeans,0,17,0-4000,2018-07-04,
,10.2115843296051,2.40628753743491,18.4735654003131,3295194,,0.107826268972068,1530657226.10865,3295194,,exp2_kmeans,0,20,0-4000,2018-07-04,
,20.6801826953888,2.33782288986241,18.7202467431997,3295194,,0.086686975992157,1530657253.00819,3295194,,exp2_kmeans,0,23,0-4000,2018-07-04,
,25.5124592781067,2.26100589353436,16.5442495915871,3295194,,0.129165410394426,1530657284.643,3295194,,exp2_kmeans,0,26,0-4000,2018-07-04,
,10.4585983753204,2.46450865081234,14.6073108763846,3295194,,0.020746800209563,1530657301.52896,3295194,,exp2_kmeans,0,29,0-4000,2018-07-04,
,15.081862449646,2.28300200079658,15.8365734839335,3295194,,0.091158364889473,1530657323.03219,3295194,,exp2_kmeans,0,32,0-4000,2018-07-04,
,16.4769423007965,2.34069332919484,15.6349437113217,3295194,,0.040544004639869,1530657346.13651,3295194,,exp2_kmeans,0,35,0-4000,2018-07-04,
,10.9596266746521,2.55717182232194,14.6972868319611,3295194,,0.00770572553967,1530657363.23749,3295194,,exp2_kmeans,0,38,0-4000,2018-07-04,
,11.0986347198486,2.42288033817937,16.4245753300107,3295194,,0.038722628556088,1530657380.72449,3295194,,exp2_kmeans,0,41,0-4000,2018-07-04,
,13.3767650127411,2.46054427826578,16.7811130257048,3295194,,0.015875750082523,1530657400.56763,3295194,,exp2_kmeans,0,44,0-4000,2018-07-04,
,11.260644197464,2.56325789455023,14.0566605064407,3295194,,-0.006103444833088,1530657418.39965,3295194,,exp2_kmeans,0,47,0-4000,2018-07-04,
,15.3938806056976,2.29541753101244,14.5502612666873,3295194,,0.041587963622099,1530657440.49091,3295194,,exp2_kmeans,0,50,0-4000,2018-07-04,
,11.9916858673096,2.59849251090118,14.0152420935217,3295194,,-0.013986577457455,1530657459.14498,3295194,,exp2_kmeans,0,53,0-4000,2018-07-04,
,11.8786792755127,2.62119254661397,15.7973658569104,3295194,,-0.011512489386185,1530657479.78816,3295194,,exp2_kmeans,0,56,0-4000,2018-07-04,
,11.4866571426392,2.5725763315857,14.6369121766567,3295194,,-0.044548261351226,1530657498.0722,3295194,,exp2_kmeans,0,59,0-4000,2018-07-04,
,12.3027036190033,2.33570266511466,14.5289104279493,3295194,,0.042846230195033,1530657517.3153,3295194,,exp2_kmeans,0,62,0-4000,2018-07-04,
,13.6547808647156,2.62286641413029,15.6433241619619,3295194,,-0.0415125399616,1530657538.10949,3295194,,exp2_kmeans,0,65,0-4000,2018-07-04,
,13.535774230957,2.36613756849904,14.0353640921811,3295194,,0.036357825971691,1530657558.81868,3295194,,exp2_kmeans,0,68,0-4000,2018-07-04,
,12.4767134189606,2.50138374971746,13.7323221190878,3295194,,0.025414792726084,1530657578.4278,3295194,,exp2_kmeans,0,71,0-4000,2018-07-04,
,14.8028466701508,2.37601262453076,13.3626339272162,3295194,,0.022530602293765,1530657600.52606,3295194,,exp2_kmeans,0,74,0-4000,2018-07-04,
,11.9026808738709,2.54893114577225,14.6595590973875,3295194,,0.073383461002898,1530657619.84017,3295194,,exp2_kmeans,0,77,0-4000,2018-07-04,
,12.5547177791595,2.60683848701719,14.1708550507633,3295194,,0.010862844897372,1530657639.85431,3295194,,exp2_kmeans,0,80,0-4000,2018-07-04,
,37.2561311721802,2.33129442503746,14.0509034202675,3295194,,0.04774151881354,1530657684.64088,3295194,,exp2_kmeans,0,83,0-4000,2018-07-04,
,41.4313697814941,2.31550719349209,13.7942446353745,3295194,,0.055294832940203,1530657733.71268,3295194,,exp2_kmeans,0,86,0-4000,2018-07-04,
,12.7177274227142,2.50522404038435,14.2775587488345,3295194,,0.02356475765529,1530657754.07785,3295194,,exp2_kmeans,0,89,0-4000,2018-07-04,
,13.1937546730042,2.59083380069999,14.5415487453045,3295194,,-0.020238678039703,1530657775.07605,3295194,,exp2_kmeans,0,92,0-4000,2018-07-04,
,15.1808683872223,2.41400144745816,13.2431924038314,3295194,,0.042977313371788,1530657798.13337,3295194,,exp2_kmeans,0,95,0-4000,2018-07-04,
,13.2737591266632,2.51848131961294,12.0778097396861,3295194,,0.002814125771361,1530657819.47959,3295194,,exp2_kmeans,0,98,0-4000,2018-07-04,
,18.4580557346344,2.30946229079185,13.0348096323452,3295194,,0.038214209565965,1530657846.11111,3295194,,exp2_kmeans,0,101,0-4000,2018-07-04,
,14.6238362789154,2.49462196012567,13.0810122576246,3295194,,-0.037436440107963,1530657869.49045,3295194,,exp2_kmeans,0,104,0-4000,2018-07-04,
,14.1568098068237,2.41333227610107,12.9727371945852,3295194,,0.027942594638079,1530657891.86373,3295194,,exp2_kmeans,0,107,0-4000,2018-07-04,
