timestamp,experiment,runtime,algorithm,start,end,preprocessing,range_n_dim,transform,range_n_clusters,,
2018-08-02 19:24:25,exp4_kmeans,8.123442788918814,kmeans,1994,2014,False,demin,True,,,"range(2, 10)"
2018-08-02 19:32:17,exp4_kmeans,7.85981836716334,kmeans,1994,2014,False,sa_norm,True,,,"range(2, 10)"
2018-08-15 16:19:39,exp7_kmeans,15.864652351538341,kmeans,1994,2014,False,,integral,,,"range(2, 20)"
2018-08-15 16:37:32,exp7_kmeans,17.88328222433726,kmeans,1994,2014,False,unit_norm,integral,,,"range(2, 20)"
2018-08-15 16:56:45,exp7_kmeans,19.21304848988851,kmeans,1994,2014,False,zero-one,integral,,,"range(2, 20)"
2018-08-15 17:32:48,exp7_kmeans,36.05728930632274,kmeans,1994,2014,False,demin,integral,,,"range(2, 20)"
2018-08-15 17:50:28,exp7_kmeans,17.660567943255106,kmeans,1994,2014,False,sa_norm,integral,,,"range(2, 20)"
2018-08-15 18:07:24,exp8_kmeans,16.23348862727483,kmeans,1994,2014,True,,integral,,,"range(2, 20)"
2018-08-15 18:23:33,exp8_kmeans,16.154797140757243,kmeans,1994,2014,True,unit_norm,integral,,,"range(2, 20)"
2018-08-15 18:40:43,exp8_kmeans,17.15865993499756,kmeans,1994,2014,True,zero-one,integral,,,"range(2, 20)"
2018-08-15 18:57:57,exp8_kmeans,17.244910915692646,kmeans,1994,2014,True,demin,integral,,,"range(2, 20)"
2018-08-15 19:13:53,exp8_kmeans,15.91997096935908,kmeans,1994,2014,True,sa_norm,integral,,,"range(2, 20)"
