Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
exp5_kmeans_unit_norm_features1BEST1,1,1,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808262119E7,228518.0,177476.0,25139.0,152337.0,0.0,14.16473213279542,85.83526786720458,0.0,0.09930910741795294,0.026666270401302452,0.11566699538839463,96.31348092514119,98.2907094744276,968621.8512281735,836719.9023285577,131901.9488996158,5.457762464942716,4.7145524033027435,0.7432100616399727,174160.43377977645,0.981318227702768,3200626.8413159517,0.0,0.0,0.0,0.0,1.0,177470.0,1.0,6.0,NaN,0.0,NaN,NaN,0.67738209274807,1.0478336040236811E-4,0.1416473213279542,0.042139494175053624,0.9578605058249462,0.8583526786720458,NaN,0.1416473213279542,NaN,NaN,0.7721076980021135,0.09520744667802133,NaN,0.1416473213279542,295.392,6.451,294.13,6.45,294130.0,6450.0,53087.0,2.8569926E7,3179051.0,95.26245802249318,50.18546572091624,?
exp5_kmeans_unit_norm_features1BEST1,1,2,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.0180826212300003E7,228518.0,179423.0,27214.0,152209.0,0.0,15.167509182211868,84.83249081778813,0.0,0.10849583074873058,0.026617412405047718,0.11545811907540311,96.17333128889985,98.1549042181338,975925.1450098244,836683.1832983136,139241.96171151078,5.439242154070684,4.663188015462419,0.7760541386082653,177659.13548435274,0.9901692396423688,3263688.361220019,0.0,0.0,0.0,0.0,1.0,179394.0,1.0,29.0,NaN,0.0,NaN,NaN,0.7397320980634804,6.2048012324019E-4,0.1516750918221187,0.04302125383058028,0.9569787461694198,0.8483249081778813,NaN,0.1516750918221187,NaN,NaN,0.7767939002847086,0.10309330311419387,NaN,0.1516750918221187,287.541,6.473,286.48,6.47,286480.0,6470.0,53087.0,2.8569926E7,3179051.0,96.41238860123842,51.76167890563253,?
exp5_kmeans_unit_norm_features1BEST1,1,3,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808262128E7,228518.0,176533.0,25462.0,151071.0,0.0,14.423365603031728,85.57663439696827,0.0,0.1015561296466357,0.026737479453560076,0.1155003280397711,96.57773873685962,98.15719227775898,963135.019896617,828883.0640634695,134251.9558331475,5.45583556556914,4.695343443228572,0.7604921223405682,169535.55453417555,0.9603618277272552,3115504.237688317,0.0,0.0,0.0,0.0,1.0,176530.0,1.0,3.0,NaN,0.0,NaN,NaN,0.606735399082309,4.321147696828278E-5,0.14423365603031726,0.04238039204363188,0.957619607956368,0.8557663439696828,NaN,0.14423365603031726,NaN,NaN,0.7769286193979817,0.1006754222104604,NaN,0.14423365603031726,288.183,6.487,287.02,6.48,287020.0,6480.0,53087.0,2.8569926E7,3179051.0,96.61366430072565,53.78678693016211,?
exp5_kmeans_unit_norm_features1BEST1,1,4,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808262133E7,228518.0,177755.0,26883.0,150872.0,0.0,15.123625214480604,84.87637478551939,0.0,0.10771416870598341,0.026668355480268375,0.11552008680746169,96.36754411992906,98.21922179261173,963774.875828164,832996.5667455308,130778.30908263323,5.42192836110469,4.686206108101211,0.735722253003478,169556.24295492927,0.9538760819944827,3113736.415101928,0.0,0.0,0.0,0.0,1.0,177749.0,1.0,6.0,NaN,0.0,NaN,NaN,0.4437268282803279,6.067777069870453E-5,0.15123625214480604,0.043347993169183405,0.9566520068308166,0.8487637478551939,NaN,0.15123625214480604,NaN,NaN,0.7721079281291334,0.09916836869888619,NaN,0.15123625214480604,286.251,6.436,285.67,6.43,285670.0,6430.0,53087.0,2.8569926E7,3179051.0,96.1851987285871,52.442872814505044,?
exp5_kmeans_unit_norm_features1BEST1,1,5,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.0180826213800002E7,228518.0,178681.0,26742.0,151939.0,0.0,14.966336655827984,85.03366334417201,0.0,0.10534498224341479,0.026591236498763455,0.11535024804129682,96.0892734747197,98.0752839616087,970791.0934736172,836351.3860082725,134439.7074653447,5.433096375516239,4.680695686772922,0.7524006887433173,171736.19812491137,0.9611329583162809,3154475.502774608,0.0,0.0,0.0,0.0,1.0,178675.0,1.0,6.0,NaN,0.0,NaN,NaN,0.7048272002238701,1.1375270162666363E-4,0.14966336655827983,0.04417991607291842,0.9558200839270815,0.8503366334417202,NaN,0.14966336655827983,NaN,NaN,0.7734194279751853,0.10470925515701306,NaN,0.14966336655827983,294.097,6.409,293.4,6.4,293400.0,6400.0,53087.0,2.8569926E7,3179051.0,96.49990765666188,53.00203794951116,?
exp5_kmeans_unit_norm_features1BEST1,1,6,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808262143E7,228518.0,176769.0,28139.0,148630.0,0.0,15.918515124258212,84.0814848757418,0.0,0.11648407226309432,0.026604473053910834,0.11541496936921841,96.10789586045568,98.09676684527284,962416.2604618028,827155.3783617808,135260.88210002205,5.44448551760661,4.679301112535461,0.7651844050711496,174127.35641391642,0.9850559567227083,3199152.454346588,0.0,0.0,0.0,0.0,1.0,176765.0,1.0,4.0,NaN,0.0,NaN,NaN,0.4330495290357254,3.9911794933197635E-5,0.15918515124258212,0.04238558466207872,0.9576144153379219,0.8408148487574179,NaN,0.15918515124258212,NaN,NaN,0.7764886223476778,0.10306773911860033,NaN,0.15918515124258212,289.936,6.478,289.12,6.48,289120.0,6480.0,53087.0,2.8569926E7,3179051.0,95.98345863810962,51.592764730077455,?
exp5_kmeans_unit_norm_features1BEST1,1,7,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808262148E7,228518.0,175493.0,25775.0,149718.0,0.0,14.68719550067524,85.31280449932476,0.0,0.1041030645544373,0.02664359704598138,0.11546796002117916,96.25865632769212,98.15260993037464,955100.679582507,821010.59266176,134090.08692074695,5.442386189662876,4.678309634354419,0.7640765553084564,170921.63796690296,0.9739513141088417,3140124.8065296207,0.0,0.0,0.0,0.0,1.0,175486.0,1.0,7.0,NaN,0.0,NaN,NaN,0.6701617223026338,1.2092107308815146E-4,0.1468719550067524,0.042447355787692834,0.9575526442123073,0.8531280449932476,NaN,0.1468719550067524,NaN,NaN,0.7768893533047374,0.0991206031223706,NaN,0.1468719550067524,293.73,6.487,293.11,6.48,293110.0,6480.0,53087.0,2.8569926E7,3179051.0,96.13146963126735,50.980299580526435,?
exp5_kmeans_unit_norm_features1BEST1,1,8,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808262153E7,228518.0,179489.0,28329.0,151160.0,0.0,15.783139913866588,84.21686008613341,0.0,0.11476918489964404,0.026591007862157706,0.11536972364072651,96.07266362403234,98.07371794676006,976255.5742669287,841068.208270145,135187.36599678372,5.439083031644996,4.6859039176225,0.7531791140224956,179158.46718156032,0.998158478689838,3291219.0333549622,0.0,0.0,0.0,0.0,1.0,179487.0,1.0,2.0,NaN,0.0,NaN,NaN,0.420760277903135,1.9236688211757463E-5,0.15783139913866587,0.04269884145218004,0.95730115854782,0.8421686008613342,NaN,0.15783139913866587,NaN,NaN,0.7754992361583768,0.10333246360579904,NaN,0.15783139913866587,295.298,6.376,294.68,6.38,294680.0,6380.0,53087.0,2.8569926E7,3179051.0,95.24316253363716,49.83768205452904,?
exp5_kmeans_unit_norm_features1BEST1,1,9,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.0180826215800002E7,228518.0,176876.0,26160.0,150716.0,0.0,14.790022388566001,85.209977611434,0.0,0.10554024206169413,0.02667065389929327,0.11555042877500743,96.34539614949023,98.21008620446794,965109.8939343976,835114.6357186766,129995.258215721,5.456420848133142,4.721469479854116,0.734951368279026,171662.95460614897,0.970527118468017,3154630.682302923,0.0,0.0,0.0,0.0,1.0,176872.0,1.0,4.0,NaN,0.0,NaN,NaN,0.6801924555610838,7.070135746606335E-5,0.14790022388566001,0.04203083928029195,0.9579691607197081,0.85209977611434,NaN,0.14790022388566001,NaN,NaN,0.7703893707942204,0.09992979323031878,NaN,0.14790022388566001,288.501,6.375,287.79,6.37,287790.0,6370.0,53087.0,2.8569926E7,3179051.0,95.98362694769217,51.97578287290611,?
exp5_kmeans_unit_norm_features1BEST1,1,10,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808262203E7,228519.0,178713.0,27842.0,150871.0,0.0,15.579168834947653,84.42083116505235,0.0,0.11255069415211451,0.02659632866980179,0.11541697336449551,96.09093191357854,98.11281384246621,973191.4604411699,839952.630172486,133238.83026868396,5.4455549425121275,4.7000085621778265,0.7455463803343011,178304.20342944062,0.9977125526930923,3275949.8546938286,0.0,0.0,0.0,0.0,1.0,178707.0,1.0,6.0,NaN,0.0,NaN,NaN,0.6487350803270158,9.557031585989391E-5,0.15579168834947654,0.04302945648077777,0.9569705435192222,0.8442083116505235,NaN,0.15579168834947654,NaN,NaN,0.7721734154749493,0.10277942395548746,NaN,0.15579168834947654,293.894,6.455,293.23,6.46,293230.0,6460.0,53087.0,2.8570051E7,3178926.0,95.21579291937353,49.94784934503696,?
