Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumRules
exp7_kmeans_unit_norm_features3BEST1,1,1,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.0180828202E7,217179.0,140274.0,35918.0,104356.0,0.0,25.60560046765616,74.39439953234384,0.0,0.21168908609020998,0.03481455479395352,0.13196050761749958,89.29575157882324,94.48282357343534,700387.5527537697,514966.9001342351,185420.65261953458,4.992996227053978,3.671150035888583,1.3218461911653947,220684.98436236667,1.5732422570281497,4433529.833822167,0.15409383624655013,335.0,0.015401882693700217,2127.0,0.9845981173062998,135973.0,0.8459061637534498,1839.0,0.13606823720552397,0.15409383624655013,0.1445211389128559,0.13046389270660436,0.8536368390304214,0.10261603639254417,0.2560560046765616,0.042841153332237834,0.9571588466677621,0.7439439953234385,NaN,0.2560560046765616,NaN,NaN,0.8605221973301684,0.2255704333366353,NaN,0.2560560046765616,184.31,0.146,183.25,0.14,183250.0,140.0,3510548.0,3.5838772E7,3986017.0,96.61020574019419,74.6937116948672,?,6602.0
exp7_kmeans_unit_norm_features3BEST1,1,2,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01808282023E7,217180.0,140354.0,36402.0,103952.0,0.0,25.935847927383616,74.06415207261638,0.0,0.21354863294293275,0.03484696772223427,0.13198915083214993,89.4371724039457,94.57258062732241,698609.7894660764,514169.08265193936,184440.70681413705,4.977484000926774,3.6633732038412825,1.3141107970854913,217908.42596871834,1.5525629905005796,4376243.423612652,0.11338732729871367,238.0,0.013301508082890311,1839.0,0.9866984919171097,136416.0,0.8866126727012863,1861.0,0.11458834857968224,0.11338732729871367,0.11398467432950193,0.10060648323708317,0.8618077439019106,0.09007380656876501,0.25935847927383615,0.04380779667759609,0.9561922033224037,0.7406415207261638,NaN,0.25935847927383615,NaN,NaN,0.8611273542639434,0.22558311814799817,NaN,0.25935847927383615,188.688,0.128,188.21,0.13,188210.0,130.0,3590200.0,3.5838937E7,3985852.0,96.75320974108327,74.95054051373974,?,6641.0
exp7_kmeans_unit_norm_features3BEST1,1,3,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01808282026E7,217180.0,141597.0,36426.0,105171.0,0.0,25.72512129494269,74.2748787050573,0.0,0.2114487628782232,0.034804341062982413,0.13196287011024682,89.33582834777573,94.563364686673,704741.9346885497,519537.3684957065,185204.5661928432,4.977096511144655,3.66912694828073,1.307969562863925,221001.9671688267,1.560781423115085,4438329.923981408,0.1619283065512979,393.0,0.014378098728174176,2001.0,0.9856219012718258,137169.0,0.8380716934487021,2034.0,0.16416040100250626,0.1619283065512979,0.16303671437461106,0.14854606671491768,0.8703648438551719,0.12641505380276247,0.2572512129494269,0.0438116119939848,0.9561883880060151,0.7427487870505731,NaN,0.2572512129494269,NaN,NaN,0.8593350273599034,0.22639726892672699,NaN,0.2572512129494269,189.247,0.131,188.63,0.13,188630.0,130.0,3509721.0,3.5838937E7,3985852.0,96.77323672111697,74.63948057241589,?,6601.0
exp7_kmeans_unit_norm_features3BEST1,1,4,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.0180828202999998E7,217180.0,141076.0,35102.0,105974.0,0.0,24.88162408914344,75.11837591085656,0.0,0.203303241822461,0.03482981703665978,0.13205153726857252,89.3758320570725,94.59665547209359,703142.0956703774,516648.8771999169,186493.21847046044,4.98413688841743,3.6622024809316747,1.3219344074857555,221547.98070581994,1.5704158092504745,4449996.987309847,0.19356223175965664,451.0,0.017319418217462124,2403.0,0.9826805817825379,136343.0,0.8064377682403433,1879.0,0.1580238262088297,0.19356223175965664,0.1739969135802469,0.1595453102144925,0.8752490486676212,0.13114275587921873,0.2488162408914344,0.04405059540549875,0.9559494045945014,0.7511837591085656,NaN,0.2488162408914344,NaN,NaN,0.8604616744389716,0.22583201056793245,NaN,0.2488162408914344,185.151,0.125,184.72,0.12,184720.0,120.0,3513378.0,3.5838937E7,3985852.0,96.59757861011086,74.55788774439787,?,6608.0
exp7_kmeans_unit_norm_features3BEST1,1,5,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01808282033E7,217180.0,141333.0,36681.0,104652.0,0.0,25.95359894716733,74.04640105283268,0.0,0.21427402227534323,0.034816241399155824,0.1320012513420229,89.37086067674659,94.59620284658332,702491.0835320514,517630.81030191795,184860.27323013346,4.970467502508624,3.6624907863125946,1.3079767161960296,219853.2109514421,1.5555688406206767,4414604.35033061,0.17318435754189945,434.0,0.014860221714796113,2063.0,0.9851397782852039,136764.0,0.8268156424581006,2072.0,0.1738085702843412,0.17318435754189945,0.17349590245852486,0.15860406404390584,0.8790504494932232,0.125688236247911,0.2595359894716733,0.0436936106986544,0.9563063893013456,0.7404640105283267,NaN,0.2595359894716733,NaN,NaN,0.8599737090107601,0.22443230899758335,NaN,0.2595359894716733,193.705,0.124,193.3,0.13,193300.0,130.0,3641679.0,3.5838937E7,3985852.0,96.77145464965719,74.83820596226934,?,6626.0
exp7_kmeans_unit_norm_features3BEST1,1,6,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01808282036E7,217180.0,141297.0,35376.0,105921.0,0.0,25.03662498142211,74.96337501857789,0.0,0.20606051522307745,0.03480201201924194,0.13197455382877538,89.28314723184982,94.51612184629386,704679.1558058473,517198.82764697575,187480.3281588715,4.987219514963851,3.660366657798649,1.3268528571652016,222733.52970248205,1.5763500265574077,4474105.71296253,0.21330049261083744,433.0,0.015861618330257708,2209.0,0.9841383816697423,137058.0,0.7866995073891626,1597.0,0.16389099167297502,0.21330049261083744,0.18535958904109592,0.17344852905240685,0.8563221580151477,0.1052478789520027,0.2503662498142211,0.04267483717206355,0.9573251628279364,0.7496337501857789,NaN,0.2503662498142211,NaN,NaN,0.8613692272399,0.22658350744904926,NaN,0.2503662498142211,183.838,0.125,183.43,0.12,183430.0,120.0,3530051.0,3.5838937E7,3985852.0,96.67367318485176,74.88465820944923,?,6641.0
exp7_kmeans_unit_norm_features3BEST1,1,7,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01808282039E7,217180.0,142909.0,36279.0,106630.0,0.0,25.386084851199016,74.61391514880098,0.0,0.20838383248873904,0.034803351939973755,0.13198643167944213,89.31308166758271,94.55620029306446,711258.7246366936,521322.01690808136,189936.70772861224,4.977004419852449,3.6479299197956836,1.329074500056765,224620.08661427244,1.5717700537703885,4510974.037446618,0.11699049193881769,283.0,0.015631005765534913,2196.0,0.9843689942344651,138294.0,0.8830095080611823,2136.0,0.11415893505445744,0.11699049193881769,0.11555737035524705,0.10014674295393244,0.8843792562563244,0.1164388429096907,0.25386084851199014,0.043815136400581,0.9561848635994191,0.7461391514880098,NaN,0.25386084851199014,NaN,NaN,0.8619668657899394,0.22431055279233722,NaN,0.25386084851199014,190.639,0.125,190.22,0.12,190220.0,120.0,3650491.0,3.5838937E7,3985852.0,96.7398834223177,74.80754486121606,?,6642.0
exp7_kmeans_unit_norm_features3BEST1,1,8,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01808282042E7,217180.0,141219.0,35882.0,105337.0,0.0,25.40876227703071,74.59123772296928,0.0,0.20863107343492032,0.03477874866469924,0.1318758659333937,89.24570606113572,94.47191545762642,702521.0821347532,515855.37996185536,186665.70217289787,4.974692372377324,3.6528751794153433,1.3218171929619802,221077.61464328834,1.5654948317385644,4439609.981044245,0.1616294349540079,369.0,0.014481487879311337,2012.0,0.9855185121206886,136924.0,0.8383705650459922,1914.0,0.15497690046199075,0.1616294349540079,0.15823327615780447,0.14413872850022968,0.8716165248101326,0.1270032794755237,0.2540876227703071,0.04370896169576123,0.9562910383042387,0.7459123772296928,NaN,0.2540876227703071,NaN,NaN,0.8616220325653322,0.22707356352994626,NaN,0.2540876227703071,182.982,0.127,182.57,0.12,182570.0,120.0,3516376.0,3.5838937E7,3985852.0,96.66050602256071,74.66917427859624,?,6614.0
exp7_kmeans_unit_norm_features3BEST1,1,9,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01808282045E7,217180.0,140162.0,35191.0,104971.0,0.0,25.107375750916795,74.8926242490832,0.0,0.20569866645544152,0.034931260434858745,0.13224338481072392,89.6273628680155,94.72365943718549,698711.5741370392,515719.25939549645,182992.3147415428,4.9850285679216855,3.679451344840231,1.3055772230814542,218004.0933533018,1.5553723074249926,4378900.646995507,0.18007503126302626,432.0,0.015265347008993707,2103.0,0.9847346529910063,135660.0,0.8199249687369737,1967.0,0.17041420118343195,0.18007503126302626,0.1751114714227807,0.16040701003956476,0.8731218571822956,0.12170919057316854,0.25107375750916794,0.043700170930535076,0.956299829069465,0.7489262424908321,NaN,0.25107375750916794,NaN,NaN,0.8585128963786435,0.2207084590362448,NaN,0.25107375750916794,180.702,0.123,180.36,0.12,180360.0,120.0,3447271.0,3.5838937E7,3985852.0,96.70952183901485,74.54580981948388,?,6595.0
exp7_kmeans_unit_norm_features3BEST1,1,10,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01808282048E7,217180.0,140230.0,36437.0,103793.0,0.0,25.98374099693361,74.0162590030664,0.0,0.21271624648455129,0.034737991251801645,0.13174040650723576,89.18458760308151,94.42662356795165,696672.7257434814,512678.9286167127,183993.79712676874,4.968071922865874,3.6559860844092755,1.312085838456598,218691.10264746626,1.5595172405866524,4391043.45150854,0.1668639053254438,423.0,0.014052797850321362,1935.0,0.9859472021496787,135760.0,0.8331360946745562,2112.0,0.17938931297709923,0.1668639053254438,0.17290006131207847,0.15834087919950843,0.8792366701324348,0.1521054632948146,0.2598374099693361,0.045372281086158366,0.9546277189138419,0.7401625900306639,NaN,0.2598374099693361,NaN,NaN,0.8597259088440171,0.23027448538129278,NaN,0.2598374099693361,183.401,0.121,183.1,0.12,183100.0,120.0,3516786.0,3.5838937E7,3985852.0,96.78599443770948,74.834695769487,?,6614.0
