Area_under_PRC,Area_under_ROC,Coverage_of_Test_Cases_By_Regions,Date_time,Elapsed_Time_testing,Elapsed_Time_training,F_measure,False_negative_rate,False_positive_rate,IR_precision,IR_recall,KB_information,KB_mean_information,KB_relative_information,Kappa_statistic,Key_Dataset,Key_Fold,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Matthews_correlation,Mean_absolute_error,Num_false_negatives,Num_false_positives,Num_true_negatives,Num_true_positives,Number_correct,Number_incorrect,Number_of_testing_instances,Number_of_training_instances,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Relative_absolute_error,Root_mean_squared_error,Root_relative_squared_error,SF_entropy_gain,SF_mean_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_prior_entropy,SF_scheme_entropy,Serialized_Model_Size,Serialized_Test_Set_Size,Serialized_Train_Set_Size,Size_of_Predicted_Regions,Summary,True_negative_rate,True_positive_rate,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,UserCPU_Time_millis_testing,UserCPU_Time_millis_training,UserCPU_Time_testing,UserCPU_Time_training,Weighted_avg_F_measure,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_area_under_PRC,Weighted_avg_area_under_ROC,Weighted_avg_false_negative_rate,Weighted_avg_false_positive_rate,Weighted_avg_matthews_correlation,Weighted_avg_true_negative_rate,Weighted_avg_true_positive_rate,measureAICScore,measureBDeuScore,measureBayesScore,measureDivergence,measureEntropyScore,measureExtraArcs,measureMDLScore,measureMissingArcs,measureNumRules,measureReversedArcs
0.00143232275006,0.976429819124359,79.2631116319953,20180824.1557,0.901,0.958,0,1,0.000118329858568,0,0,189282.826627481,1.06652632822174,3478538.04883219,0.08055992299346,exp5_kmeans_unit_norm_features1BEST1,1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,-6.32526430673881E-05,0.02661766386871,6,21,177449,0,20384,157092,177476,228518,0,11.4854966305303,88.5145033694697,0,96.1379234032531,0.117308004023912,99.6851945865989,2867.63951243693,0.016157900293206,5.45776246494272,5.44160456464951,968621.851228174,965754.211715736,80030,3179051,28569926,32.2593155452815,?,0.999881670141432,0,,0.114854966305303,900,900,0.9,0.9,,,0.114854966305303,0.08310800863034,0.749261213042537,0.885145033694697,0.033904034933085,,0.966095965066915,0.114854966305303,-25395252.4580946,-25421971.0790453,-25398175.9576826,0,-25391403.4580946,0,-25415150.5761616,0,,0
0.0441400304414,0.996602450472145,80.4211277260998,20180824.1557,0.894,1.011,,1,0,,0,197244.281096947,1.09932551064773,3623477.41239579,0.088744503782697,exp5_kmeans_unit_norm_features1BEST1,2,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,,0.026538074149563,29,0,179394,0,22149,157274,179423,228518,0,12.3445712088194,87.6554287911806,0,95.8866684002422,0.116925168542816,99.4020932517879,18722.5640234608,0.104348740258834,5.43924215407068,5.33489341381185,975925.145009824,957202.580986364,80030,3179051,28569926,32.387797073317,?,1,0,,0.123445712088194,890,990,0.89,0.99,,,0.123445712088194,0.091175648161033,0.754856987815586,0.876554287911806,0.034240611322934,,0.965759388677066,0.123445712088194,-25376777.5556201,-25403487.6398029,-25379692.5184402,0,-25372928.55562,0,-25396675.673687,0,,0
0.001147227533461,0.985203648105138,79.8655208941104,20180824.1557,0.923,0.89,0,1,6.79771143714949E-05,0,0,191921.835420838,1.08717257068558,3526890.23374154,0.086552990866169,exp5_kmeans_unit_norm_features1BEST1,3,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,-3.39894236353928E-05,0.026581419706569,3,12,176518,0,21253,155280,176533,228518,0,12.0391088351753,87.9608911648247,0,96.0140394734935,0.117137213273832,99.5482884017549,12592.0433016991,0.071329685110994,5.45583556556914,5.38450588045815,963135.019896617,950542.976594918,80030,3179051,28569926,32.3283546338165,?,0.999932022885628,0,,0.120391088351753,910,890,0.91,0.89,,,0.120391088351753,0.085735278992617,0.755224524855324,0.879608911648247,0.033299491403508,,0.966700508596492,0.120391088351753,-25418828.1621974,-25445543.2326416,-25421748.1112788,0,-25414979.1621974,0,-25438726.2802644,0,,0
0.00125313283208,0.973096895059888,79.2551545666789,20180824.1557,0.964,0.895,,1,0,,0,185926.145114987,1.04596858099624,3414353.83607755,0.08433875977352,exp5_kmeans_unit_norm_features1BEST1,4,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,,0.026638276134944,6,0,177749,0,21159,156596,177755,228518,0,11.9034626311496,88.0965373688504,0,96.258850779622,0.1173283417065,99.7566634089968,-8370.58251737116,-0.047090560138231,5.42192836110469,5.46901892124292,963774.875828164,972145.458345535,80030,3179051,28569926,32.2665466512904,?,1,0,,0.119034626311496,930,900,0.93,0.9,,,0.119034626311496,0.084677378732426,0.746195028792451,0.880965373688504,0.034212030755522,,0.965787969244478,0.119034626311496,-25383247.7937673,-25409963.5899948,-25386168.4686321,0,-25379398.7937673,0,-25403145.9118343,0,,0
0.146341463414634,0.999804113614104,79.6139488809666,20180824.1557,0.904,0.894,,1,0,,0,190433.19000414,1.06577190638143,3497904.57307291,0.087859129025339,exp5_kmeans_unit_norm_features1BEST1,5,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,,0.026563806693141,6,0,178675,0,21898,156783,178681,228518,0,12.2553601110359,87.7446398889641,0,95.9901539736789,0.117028688938838,99.5023599361678,3883.24193076033,0.021732819554179,5.43309637551624,5.41136355596206,970791.093473617,966907.851542857,80030,3179051,28569926,32.4168770042708,?,1,0,,0.122553601110359,910,890,0.91,0.89,,,0.122553601110359,0.090018385982288,0.749529928964965,0.877446398889641,0.034177234229511,,0.965822765770489,0.122553601110359,-25380874.6559255,-25407581.4800102,-25383786.3586475,0,-25377025.6559255,0,-25400772.7739925,0,,0
0.000799200799201,0.971708200152745,80.2612449015382,20180824.1557,0.9,0.886,,1,0,,0,193754.220140146,1.09608709751227,3559746.73748517,0.093207102326897,exp5_kmeans_unit_norm_features1BEST1,6,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,,0.026523994837862,4,0,176765,0,22471,154298,176769,228518,0,12.7120705553576,87.2879294446424,0,95.8171706131873,0.116870056417943,99.3335157326868,14647.6416918343,0.082863181280849,5.44448551760661,5.36162233632576,962416.260461803,947768.618769968,80030,3179051,28569926,32.2869394520539,?,1,0,,0.127120705553576,900,860,0.9,0.86,,,0.127120705553576,0.09142267944767,0.75485398202606,0.872879294446424,0.03331186611079,,0.96668813388921,0.127120705553576,-25410408.6775653,-25437127.6756243,-25413332.5542616,0,-25406559.6775653,0,-25430306.7956323,0,,0
0.005833333333333,0.993201736890692,79.5724045973344,20180824.1557,0.911,0.892,,1,0,,0,186493.797886116,1.06268510929847,3426212.19859543,0.084759835632484,exp5_kmeans_unit_norm_features1BEST1,7,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,,0.026588308592845,7,0,175486,0,20899,154594,175493,228518,0,11.9087371006251,88.0912628993749,0,96.0589088161157,0.117187402522916,99.6142081879319,1351.8329621891,0.007703059165831,5.44238618966288,5.43468313049705,955100.679582507,953748.846620318,80030,3179051,28569926,32.2733426078864,?,1,0,,0.119087371006251,910,890,0.91,0.89,,,0.119087371006251,0.087903747573155,0.750167449768378,0.880912628993749,0.033849828211049,,0.966150171788951,0.119087371006251,-25424999.4037224,-25451716.3052886,-25427921.1839259,0,-25421150.4037224,0,-25444897.5217894,0,,0
0.000970873786408,0.988533988533989,78.9708561527447,20180824.1557,0.904,0.899,,1,0,,0,192735.277406555,1.0737999398657,3540630.94744255,0.089129474759866,exp5_kmeans_unit_norm_features1BEST1,8,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,,0.026569336208085,2,0,179487,0,22244,157245,179489,228518,0,12.3929600142627,87.6070399857373,0,95.9943644658109,0.117089153684092,99.5353743656253,-1604.32389989449,-0.008938285353946,5.439083031645,5.44802131699894,976255.574266929,977859.898166823,80030,3179051,28569926,32.3067470111581,?,1,0,,0.123929600142627,910,900,0.91,0.9,,,0.123929600142627,0.089411422779835,0.750430465362538,0.876070399857373,0.034216922780594,,0.965783077219405,0.123929600142627,-25363874.5672014,-25390589.961634,-25366794.8402712,0,-25360025.5672014,0,-25383772.6852683,0,,0
0.001237623762376,0.981789090415668,79.5732603631923,20180824.1557,0.899,0.896,0,1,3.9576642996065E-05,0,0,191834.926182234,1.08457295609486,3525328.72022532,0.087824259296259,exp5_kmeans_unit_norm_features1BEST1,9,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,-2.99173837486719E-05,0.02657833724648,4,7,176865,0,21613,155263,176876,228518,0,12.2192948732445,87.7807051267554,0,96.0119103444526,0.117041472158812,99.4773727114112,-1815.68390338158,-0.010265292653506,5.45642084813314,5.46668614078665,965109.893934398,966925.577837779,80030,3179051,28569926,32.5595655390545,?,0.999960423357004,0,,0.122192948732445,900,890,0.9,0.89,,,0.122192948732445,0.087289154360818,0.747550656938869,0.877807051267554,0.033937079398051,,0.96606292060195,0.122192948732445,-25403932.8195661,-25430642.7491139,-25406847.6277512,0,-25400083.8195661,0,-25423830.937633,0,,0
0.025862068965517,0.998743753742159,79.4497322522704,20180824.1557,0.901,0.893,,1,0,,0,190564.338967363,1.06631492374569,3501203.03696037,0.087161348396428,exp5_kmeans_unit_norm_features1BEST1,10,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -R -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',7.46037443258776E+017,,0.026586974388796,6,0,178707,0,21707,157006,178713,228519,0,12.1462904209543,87.8537095790457,0,96.0571354603012,0.117169701901015,99.6027604560969,-1328.76518451574,-0.007435190414328,5.44555494251213,5.45299013292645,973191.46044117,974520.225625686,80030,3178926,28570051,32.447795387817,?,1,0,,0.121462904209543,890,890,0.89,0.89,,,0.121462904209543,0.088682098590979,0.74832921055063,0.878537095790457,0.033789942560142,,0.966210057439858,0.121462904209543,-25381262.1638058,-25407976.593372,-25384181.4720093,0,-25377413.1638058,0,-25401160.2902944,0,,0
