Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureExtraArcs,measureMissingArcs,measureReversedArcs,measureDivergence,measureBayesScore,measureBDeuScore,measureMDLScore,measureAICScore,measureEntropyScore,measureNumRules
exp5_kmeans_unit_norm_features1BEST1,1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0180824044999998E7,228639.0,177034.0,29225.0,147809.0,0.0,16.508128382118688,83.49187161788132,0.0,0.12802655945780392,0.025965736499295913,0.11504020325527493,93.80284747255328,97.78187287809138,965207.1407403649,801417.4171167177,163789.72362364724,5.452100391678236,4.526912441207439,0.9251879504707979,228078.63717097882,1.288332394743263,4190399.372338637,0.0,0.0,0.0,0.0,1.0,177030.0,1.0,4.0,NaN,0.0,NaN,NaN,0.9995763429927131,0.05063291139240506,0.1650812838211869,0.03656824058625035,0.9634317594137497,0.8349187161788131,NaN,0.1650812838211869,NaN,NaN,0.8061513730249827,0.12175793362700933,NaN,0.1650812838211869,1.366,1.409,1.06,1.4,1060.0,1400.0,2314049.0,2.8584875E7,3180625.0,89.90363433012868,33.04139317871161,?,0.0,0.0,0.0,0.0,-2.2080529218372717E7,-2.3551992772989266E7,-2.30825666884009E7,-2.23482838868746E7,-2.22062548868746E7,?
exp5_kmeans_unit_norm_features1BEST1,1,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0180824044999998E7,228639.0,177680.0,29005.0,148675.0,0.0,16.324290859972987,83.67570914002701,0.0,0.1264890036863705,0.026034321099184198,0.1149623906965915,94.07399499396348,97.74305199621571,966009.9439785379,807700.9136058802,158309.0303726577,5.436796172774302,4.545817838844441,0.8909783339298609,220978.99787366146,1.2436908930305124,4058710.9978479887,0.0,0.0,0.0,0.0,1.0,177673.0,1.0,7.0,NaN,0.0,NaN,NaN,0.9972758944803093,0.014198782961460446,0.16324290859972984,0.03609205833301288,0.9639079416669871,0.8367570914002701,NaN,0.16324290859972984,NaN,NaN,0.7996983301316578,0.1242204390616493,NaN,0.16324290859972984,0.794,1.277,0.77,1.27,770.0,1270.0,1600749.0,2.8584875E7,3180625.0,90.87122917604682,34.72694088891732,?,0.0,0.0,0.0,0.0,-2.2532108389416628E7,-2.3223894607203417E7,-2.3026741798653997E7,-2.2642412899748567E7,-2.2568073899748564E7,?
exp5_kmeans_unit_norm_features1BEST1,1,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0180824044999998E7,228639.0,176401.0,28408.0,147993.0,0.0,16.104217096274965,83.89578290372503,0.0,0.12481929641793675,0.025883133642976727,0.11514534535386464,93.51080648278693,97.87876372841973,960079.8180552408,797167.2006654602,162912.6173897806,5.442598500321658,4.51906282087664,0.9235356794450178,229675.8594685227,1.3020099629170057,4218929.888442192,0.0,0.0,0.0,0.0,1.0,176399.0,1.0,2.0,NaN,0.0,NaN,NaN,0.9995861654544527,0.02666666666666667,0.16104217096274964,0.03596264603598988,0.9640373539640101,0.8389578290372504,NaN,0.16104217096274964,NaN,NaN,0.8066232702369408,0.12312486113039545,NaN,0.16104217096274964,0.741,1.327,0.74,1.31,740.0,1310.0,2869989.0,2.8584875E7,3180625.0,89.79881066433863,32.64067987952786,?,0.0,0.0,0.0,0.0,-2.2216583931648098E7,-2.3889167522704437E7,-2.3355306784802616E7,-2.2518245381060295E7,-2.2356336381060295E7,?
exp5_kmeans_unit_norm_features1BEST1,1,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0180824044999998E7,228639.0,178443.0,28137.0,150306.0,0.0,15.768060389031792,84.23193961096821,0.0,0.1217719429744314,0.026068564488574565,0.11524604388836361,94.15435322828277,97.93347961067154,973373.9722527958,818094.3481069435,155279.62414585229,5.45481734925324,4.584625612139134,0.8701917371141052,221404.64866242706,1.24075838594076,4068027.319688527,0.0,0.0,0.0,0.0,1.0,178437.0,1.0,6.0,NaN,0.0,NaN,NaN,0.9999019261700208,0.21428571428571427,0.1576806038903179,0.035838858378949366,0.9641611416210507,0.8423193961096821,NaN,0.1576806038903179,NaN,NaN,0.7962465543036611,0.11764782574913704,NaN,0.1576806038903179,0.697,1.273,0.7,1.27,700.0,1270.0,1558889.0,2.8584875E7,3180625.0,90.23833941370634,34.564851040868774,?,0.0,0.0,0.0,0.0,-2.264656957465543E7,-2.3415711144586444E7,-2.319444561191867E7,-2.2773927064344876E7,-2.2692588064344876E7,?
exp5_kmeans_unit_norm_features1BEST1,1,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0180824044999998E7,228640.0,176611.0,27667.0,148944.0,0.0,15.66550214879028,84.33449785120972,0.0,0.12111268624995203,0.025994679734692886,0.1151155054380194,93.89948328157169,97.83658737822192,962816.4441461291,802071.4479696444,160744.99617648462,5.451622176116602,4.541458051704845,0.9101641244117559,225400.57889618984,1.2762544739353145,4141169.7940069675,0.0,0.0,0.0,0.0,1.0,176582.0,1.0,29.0,NaN,0.0,NaN,NaN,0.9986776681654982,0.10943396226415095,0.15665502148790278,0.03520048261486334,0.9647995173851366,0.8433449785120972,NaN,0.15665502148790278,NaN,NaN,0.8033188397845591,0.12281477694779189,NaN,0.15665502148790278,0.888,1.344,0.84,1.34,840.0,1340.0,2976949.0,2.8585E7,3180500.0,90.23277145817644,33.265069236101546,?,0.0,0.0,0.0,0.0,-2.2378561198075525E7,-2.3996164830329426E7,-2.350194832139896E7,-2.2673933979583364E7,-2.2513774979583364E7,?
exp5_kmeans_unit_norm_features1BEST1,1,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0180824044999998E7,228640.0,177580.0,29232.0,148348.0,0.0,16.46131321094718,83.53868678905282,0.0,0.12822297026128324,0.025869308666720516,0.11511891504506096,93.47199787911606,97.86936776563074,965107.5819167558,812016.7789801218,153090.80293663393,5.434776336956616,4.572681489920722,0.8620948470358933,229026.01568843774,1.289706136324123,4206342.881958446,0.0,0.0,2.1962674715893092E-4,39.0,0.9997803732528411,177535.0,1.0,6.0,0.0,0.0,0.0,-8.615270324727249E-5,0.9990764413709214,0.03529411764705882,0.1646131321094718,0.03566733249930672,0.9643326675006928,0.8353868678905282,0.13938270325303395,0.1646131321094718,0.13837662383467167,0.11615311758166649,0.8037261936585005,0.1244354985392217,0.076102709815135,0.1646131321094718,0.728,1.352,0.73,1.35,730.0,1350.0,3975009.0,2.8585E7,3180500.0,88.8016668543755,31.98600228468432,?,0.0,0.0,0.0,0.0,-2.1990198959817413E7,-2.4258504858507235E7,-2.3514066293856796E7,-2.240015360662929E7,-2.2184694606629167E7,?
exp5_kmeans_unit_norm_features1BEST1,1,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0180824044999998E7,228640.0,179483.0,29472.0,150011.0,0.0,16.420496648707676,83.57950335129232,0.0,0.12825442919569363,0.025858400140898626,0.11503106652360169,93.42287872519812,97.78327674286545,977399.9841877132,805546.6899336099,171853.29425410333,5.445641003257764,4.488150353702634,0.9574906495551296,238567.4869244816,1.3291926640655751,4382553.044510404,0.0,0.0,3.343046741365189E-5,6.0,0.9999665695325863,179471.0,1.0,6.0,0.0,0.0,0.0,-3.343046741365189E-5,0.999668481198148,0.08955223880597014,0.16420496648707678,0.03551222271028269,0.9644877772897174,0.8357950335129233,NaN,0.16420496648707678,NaN,NaN,0.8119210314568049,0.1257730756431336,NaN,0.16420496648707678,1.062,1.378,0.86,1.38,860.0,1380.0,4295329.0,2.8585E7,3180500.0,90.04473961322242,32.097691703392165,?,0.0,0.0,0.0,0.0,-2.2028992863589138E7,-2.4184478751250114E7,-2.3490397571677227E7,-2.24061604089099E7,-2.21964414089099E7,?
exp5_kmeans_unit_norm_features1BEST1,1,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0180824044999998E7,228640.0,177345.0,29157.0,148188.0,0.0,16.440835659308128,83.55916434069186,0.0,0.1279076527513018,0.025991785029265937,0.11509621019450254,93.88527458519499,97.81579603006416,966918.5511108784,809000.0496170673,157918.50149381103,5.452189523870864,4.561730241151808,0.8904592827190562,224521.71173174964,1.266016587621583,4125079.5079296078,0.0,0.0,0.0,0.0,1.0,177341.0,1.0,4.0,NaN,0.0,NaN,NaN,0.9990413948269153,0.022988505747126436,0.16440835659308128,0.035985151902783334,0.9640148480972168,0.8355916434069187,NaN,0.16440835659308128,NaN,NaN,0.8019713403638036,0.12236420335958163,NaN,0.16440835659308128,0.745,1.28,0.74,1.28,740.0,1280.0,3317289.0,2.8585E7,3180500.0,90.12771716146494,34.1404767946254,?,0.0,0.0,0.0,0.0,-2.238024419736837E7,-2.4364245864690386E7,-2.373659744546959E7,-2.2751881858631074E7,-2.2561412858631074E7,?
exp5_kmeans_unit_norm_features1BEST1,1,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0180824044999998E7,228640.0,179686.0,29625.0,150061.0,0.0,16.4870941531338,83.5129058468662,0.0,0.12671608865721454,0.025993968703933803,0.11500399255695101,93.92771148989036,97.7779507245178,975925.4682317091,813452.478246533,162472.98998517613,5.431282727823588,4.527077670194299,0.9042050576292874,227775.57486313922,1.2676311725072584,4183052.8066351283,0.0,0.0,0.0,0.0,1.0,179680.0,1.0,6.0,NaN,0.0,NaN,NaN,0.9881622885129119,0.0028129395218002813,0.164870941531338,0.037479960205094705,0.9625200397949055,0.835129058468662,NaN,0.164870941531338,NaN,NaN,0.8047546721373877,0.12262108857472455,NaN,0.164870941531338,0.768,1.352,0.77,1.35,770.0,1350.0,2263649.0,2.8585E7,3180500.0,90.086038979108,33.484133432766036,?,0.0,0.0,0.0,0.0,-2.2233486960332416E7,-2.3681125166805554E7,-2.3219981789158247E7,-2.249872695606749E7,-2.2359217956067495E7,?
exp5_kmeans_unit_norm_features1BEST1,1,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0180824044999998E7,228640.0,178596.0,28059.0,150537.0,0.0,15.710878183161997,84.289121816838,0.0,0.11970665895857216,0.02603851487904119,0.11521811656042759,94.07057891206422,97.9387255996028,971700.0923427272,819151.777499335,152548.31484339223,5.440771866910386,4.586618835244546,0.8541530316658393,218556.5789421016,1.223748454288459,4014543.596599335,0.0,0.0,0.0,0.0,1.0,178593.0,1.0,3.0,NaN,0.0,NaN,NaN,0.9984321893915215,0.01060070671378092,0.15710878183161997,0.03684431816837289,0.9631556818316268,0.8428912181683801,NaN,0.15710878183161997,NaN,NaN,0.7974569878953903,0.11949999757552707,NaN,0.15710878183161997,0.714,1.272,0.71,1.27,710.0,1270.0,1352529.0,2.8585E7,3180500.0,90.33349011176063,34.48191128900658,?,0.0,0.0,0.0,0.0,-2.239312882053279E7,-2.3067405210882116E7,-2.2882518937779263E7,-2.250578970574034E7,-2.243292070574034E7,?
