Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureExtraArcs,measureMissingArcs,measureReversedArcs,measureDivergence,measureBayesScore,measureBDeuScore,measureMDLScore,measureAICScore,measureEntropyScore,measureNumRules
exp7_kmeans_unit_norm_features1BEST1,1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808231844E7,258099.0,168387.0,31645.0,136742.0,0.0,18.793018463420573,81.20698153657943,0.0,0.12649801360257185,0.03654670057674129,0.1369609897936236,93.6240568169968,98.0264124953422,838181.3633068416,709534.957413013,128646.4058938286,4.977708275026229,4.213715770297071,0.7639925047291573,194278.61555608886,1.1537625562311156,3905115.8380333437,0.0794107078692059,221.0,0.010947803193159586,1813.0,0.9890521968068404,163791.0,0.9205892921307941,2562.0,0.10865290068829891,0.0794107078692059,0.09175835582312643,0.07990179621494953,0.7937136463441966,0.06983276468591468,0.18793018463420572,0.06217477440166288,0.9378252255983376,0.8120698153657943,NaN,0.18793018463420572,NaN,NaN,0.7884657780727421,0.12951396406120916,NaN,0.18793018463420572,1.394,1.13,1.08,1.13,1080.0,1130.0,2274541.0,3.2266955E7,3589330.0,90.62457315588496,37.199039675734134,?,0.0,0.0,0.0,0.0,-2.0415007604015082E7,-2.1712492175590202E7,-2.132141243653619E7,-2.0646587893773653E7,-2.0517571893773656E7,?
exp7_kmeans_unit_norm_features1BEST1,1,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808231844E7,258099.0,165723.0,30930.0,134793.0,0.0,18.66367372060607,81.33632627939393,0.0,0.12595681387244256,0.036644743113269054,0.1369786558222533,93.86009858645087,98.02135615904409,826739.8910705722,707634.436125987,119105.45494458522,4.988685282492908,4.269983261985282,0.7187020205076254,185286.56194381454,1.118049769457556,3725269.25865089,0.13354253835425384,383.0,0.019888858186730526,3239.0,0.9801111418132695,159616.0,0.8664574616457462,2485.0,0.10574268360022088,0.13354253835425384,0.11802773497688751,0.10136932507119653,0.8030519775979582,0.0771245543234899,0.18663673720606072,0.0613046778759757,0.9386953221240243,0.8133632627939393,NaN,0.18663673720606072,NaN,NaN,0.781828405674656,0.12876594346003592,NaN,0.18663673720606072,0.943,1.031,0.91,1.03,910.0,1030.0,1656259.0,3.2266955E7,3589330.0,90.62773423121715,38.935009205797336,?,0.0,0.0,0.0,0.0,-2.085397012359986E7,-2.164209192106895E7,-2.1419014570760034E7,-2.0983315048316475E7,-2.0900016048316475E7,?
exp7_kmeans_unit_norm_features1BEST1,1,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808231844E7,258099.0,167554.0,32771.0,134783.0,0.0,19.558470701982646,80.44152929801736,0.0,0.13656507028481238,0.03641102141737749,0.1369072346330126,93.35087671888104,98.07596423855914,830180.5478910656,715912.6098131106,114267.93807795504,4.954704440903026,4.2727276568336805,0.681976784069345,196825.08686390956,1.1746964373510007,3954258.644957929,0.1005273566249176,305.0,0.012697544371504985,2089.0,0.9873024556284951,162431.0,0.8994726433750824,2729.0,0.1274018379281537,0.1005273566249176,0.11238025055268976,0.09868350879947084,0.8112789271632737,0.07965272397059488,0.19558470701982644,0.0593937018211748,0.9406062981788254,0.8044152929801736,NaN,0.19558470701982644,NaN,NaN,0.7868718549993983,0.1350704914177815,NaN,0.19558470701982644,0.768,1.041,0.77,1.04,770.0,1040.0,2766501.0,3.2266955E7,3589330.0,88.39180204590758,35.01182561187238,?,0.0,0.0,0.0,0.0,-2.0321133743074596E7,-2.1783150578268528E7,-2.13303751553053E7,-2.0569178552684803E7,-2.042364955268481E7,?
exp7_kmeans_unit_norm_features1BEST1,1,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808231844E7,258099.0,166574.0,30523.0,136051.0,0.0,18.323988137404395,81.6760118625956,0.0,0.12120563591145711,0.03673405191567575,0.13713164839131273,94.11384246814012,98.16010768284667,828698.8538673496,714340.0428104468,114358.81105690275,4.974959200519586,4.28842462095193,0.6865345795676561,182942.3520825991,1.0982647476953131,3677022.158569723,0.06590819929384072,168.0,0.0163145861911294,2676.0,0.9836854138088706,161349.0,0.9340918007061593,2381.0,0.05907172995780591,0.06590819929384072,0.062302985351381415,0.04699338874732684,0.7726086569418337,0.04821680518880874,0.18323988137404396,0.06280348794492134,0.9371965120550786,0.816760118625956,NaN,0.18323988137404396,NaN,NaN,0.7769038543932829,0.12636401339192568,NaN,0.18323988137404396,0.777,0.972,0.77,0.97,770.0,970.0,768869.0,3.2266955E7,3589330.0,90.03806116200607,39.191688538011626,?,0.0,0.0,0.0,0.0,-2.096660395224093E7,-2.134117606693621E7,-2.1244118407135967E7,-2.1019351244523637E7,-2.0976379244523637E7,?
exp7_kmeans_unit_norm_features1BEST1,1,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808231844E7,258099.0,167590.0,31870.0,135720.0,0.0,19.01664777134674,80.98335222865326,0.0,0.12939880347399618,0.03670713813063027,0.13702722467849843,94.04128152286789,98.08114118598037,833858.7347803194,718287.2577535632,115571.47702675615,4.975587653083831,4.2859792216335295,0.6896084314503023,185914.69486621735,1.1093424122335303,3736813.9578870567,0.18278346605991658,482.0,0.021363661164089165,3524.0,0.9786363388359108,161429.0,0.8172165339400834,2155.0,0.12031952071892162,0.18278346605991658,0.14511515881378895,0.13151221969884658,0.797402513807377,0.08335306618650226,0.1901664777134674,0.061330533979463454,0.9386694660205367,0.8098335222865326,NaN,0.1901664777134674,NaN,NaN,0.777765263180211,0.12815469834394422,NaN,0.1901664777134674,0.794,0.992,0.8,0.99,800.0,990.0,1713197.0,3.2266955E7,3589330.0,89.78519004713885,38.50241904745763,?,0.0,0.0,0.0,0.0,-2.0959477033395775E7,-2.1737137266132317E7,-2.152542337802671E7,-2.109459349694015E7,-2.101222549694015E7,?
exp7_kmeans_unit_norm_features1BEST1,1,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808231844E7,258099.0,167230.0,31913.0,135317.0,0.0,19.083298451234825,80.91670154876518,0.0,0.12840553173663982,0.03657457184853068,0.13671353356122495,93.75286134911464,97.91678413527566,829402.9556489862,707155.4734599913,122247.48218899488,4.95965410302569,4.228640037433423,0.7310140655922674,188903.79271700297,1.1296046924415653,3795544.92790825,0.08235294117647059,252.0,0.013577389291587989,2229.0,0.986422610708412,161941.0,0.9176470588235294,2808.0,0.10157194679564692,0.08235294117647059,0.09095831077422847,0.07624597470017892,0.8008297402939166,0.07716485088813885,0.19083298451234826,0.062996629670113,0.9370033703298869,0.8091670154876517,NaN,0.19083298451234826,NaN,NaN,0.78339355347207,0.13194874506976806,NaN,0.19083298451234826,0.794,1.043,0.79,1.01,790.0,1010.0,1806591.0,3.2266955E7,3589330.0,90.22364408299946,38.03504155953051,?,0.0,0.0,0.0,0.0,-2.0434827111650523E7,-2.1527266836886786E7,-2.1204434697413478E7,-2.0633154107715104E7,-2.0523934107715104E7,?
exp7_kmeans_unit_norm_features1BEST1,1,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808231844E7,258099.0,167355.0,31948.0,135407.0,0.0,19.089958471512652,80.91004152848734,0.0,0.12979659920029582,0.03653424177253615,0.13672814526980723,93.59506815661086,97.86321777002402,833310.3650666322,709488.7714103056,123821.59365632653,4.979297690936226,4.239423808134239,0.739873882801987,192373.2645133754,1.1494921843588504,3866953.35420534,0.06571879936808847,208.0,0.010646202570193069,1748.0,0.9893537974298069,162442.0,0.9342812006319116,2957.0,0.10633946830265849,0.06571879936808847,0.08123413395821129,0.06979830859055443,0.8089097399681543,0.08537994743629522,0.19089958471512652,0.06177483751428387,0.9382251624857161,0.8091004152848734,NaN,0.19089958471512652,NaN,NaN,0.7869471495721067,0.132958835357834,NaN,0.19089958471512652,0.812,1.046,0.8,1.03,800.0,1030.0,1520529.0,3.2266955E7,3589330.0,89.91425413044128,37.95618381797586,?,0.0,0.0,0.0,0.0,-2.0549279214848936E7,-2.136824474010562E7,-2.1139124080101095E7,-2.0688559336673085E7,-2.0602418336673085E7,?
exp7_kmeans_unit_norm_features1BEST1,1,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808231844E7,258100.0,167344.0,33055.0,134289.0,0.0,19.752724925901138,80.24727507409887,0.0,0.13878428646693136,0.03649332596277373,0.13676677224104264,93.49436110092749,97.89570138161324,832919.8310502464,708664.7456706684,124255.08537957794,4.97729127456166,4.234778334871095,0.7425129396905652,195181.69320110662,1.166350112350049,3923232.4667512393,0.11394501490559789,344.0,0.015183325726456717,2495.0,0.9848166742735432,161830.0,0.8860549850944022,2675.0,0.121169425854174,0.11394501490559789,0.11744622738135883,0.10178871663952511,0.8088833180717064,0.08940556404960515,0.19752724925901138,0.05934241108264058,0.9406575889173592,0.8024727507409887,NaN,0.19752724925901138,NaN,NaN,0.7862390611451434,0.13289785097424806,NaN,0.19752724925901138,0.888,1.058,0.85,1.05,850.0,1050.0,2514053.0,3.226708E7,3589205.0,89.80841858686298,36.81675629425894,?,0.0,0.0,0.0,0.0,-2.0492364668172E7,-2.1752591674544983E7,-2.138434923989867E7,-2.071208741728601E7,-2.0583561417286012E7,?
exp7_kmeans_unit_norm_features1BEST1,1,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808231844E7,258100.0,166732.0,32497.0,134235.0,0.0,19.490559700597366,80.50944029940264,0.0,0.13576631609105475,0.036453709790060455,0.13674885554883068,93.36145378396957,97.845890016205,831625.2879186515,704179.7781161392,127445.50980251224,4.9877965112794875,4.2234230868467915,0.7643734244326958,198244.67559256914,1.189001964785219,3985723.2365905885,0.05366666666666667,161.0,0.013509882002296436,2212.0,0.9864901179977036,161520.0,0.9463333333333334,2839.0,0.06784660766961652,0.05366666666666667,0.05992927600967802,0.04506514038435756,0.8062398584271859,0.06540421259639807,0.19490559700597365,0.05975412211225814,0.9402458778877414,0.8050944029940263,NaN,0.19490559700597365,NaN,NaN,0.7922166877493924,0.13508156830017914,NaN,0.19490559700597365,1.06,1.036,0.82,1.03,820.0,1030.0,1998867.0,3.226708E7,3589205.0,89.64206031235756,36.107670283047064,?,0.0,0.0,0.0,0.0,-2.0428751220314175E7,-2.1455042406598173E7,-2.1157039900462992E7,-2.0601905810711905E7,-2.0495772810711905E7,?
exp7_kmeans_unit_norm_features1BEST1,1,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 3 -R -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.01808231844E7,258100.0,167903.0,31845.0,136058.0,0.0,18.966307927791643,81.03369207220835,0.0,0.12925423731201954,0.036565927459670335,0.13684955673711838,93.6826587739643,97.9577079265645,836036.4002930968,708126.677744834,127909.7225482628,4.979282087235468,4.217474838119831,0.761807249115637,193933.0919445689,1.1550305351576142,3898299.2016669298,0.08831615120274915,257.0,0.012133848102646779,2002.0,0.9878661518973533,162991.0,0.9116838487972508,2653.0,0.11376715360779106,0.08831615120274915,0.09943896304894564,0.08629534747724328,0.7862531708363844,0.06269134779205143,0.18966307927791642,0.061254981215292874,0.938745018784707,0.8103369207220836,NaN,0.18966307927791642,NaN,NaN,0.7878112311814911,0.1310615744775001,NaN,0.18966307927791642,0.787,1.026,0.79,1.02,790.0,1020.0,1946731.0,3.226708E7,3589205.0,90.24674961138277,37.77544298840318,?,0.0,0.0,0.0,0.0,-2.0435514623260807E7,-2.1618688168972053E7,-2.1267432657606803E7,-2.0649505800785482E7,-2.0531367800785482E7,?
